stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6774,0.0232
0.0,conformal_risk_filter,0.7324,0.0160
0.0,proposed_branch_mechanism,0.7705,0.0140
0.0,oracle_branch_upper_bound,0.8262,0.0099
0.2,scalar_uncertainty_planner,0.6267,0.0256
0.2,conformal_risk_filter,0.6836,0.0143
0.2,proposed_branch_mechanism,0.7379,0.0131
0.2,oracle_branch_upper_bound,0.8029,0.0124
0.4,scalar_uncertainty_planner,0.5748,0.0242
0.4,conformal_risk_filter,0.6336,0.0133
0.4,proposed_branch_mechanism,0.7107,0.0155
0.4,oracle_branch_upper_bound,0.7833,0.0127
0.6,scalar_uncertainty_planner,0.5214,0.0239
0.6,conformal_risk_filter,0.5917,0.0130
0.6,proposed_branch_mechanism,0.6857,0.0163
0.6,oracle_branch_upper_bound,0.7600,0.0137
0.8,scalar_uncertainty_planner,0.4683,0.0216
0.8,conformal_risk_filter,0.5440,0.0133
0.8,proposed_branch_mechanism,0.6512,0.0182
0.8,oracle_branch_upper_bound,0.7398,0.0125
1.0,scalar_uncertainty_planner,0.4107,0.0168
1.0,conformal_risk_filter,0.4998,0.0110
1.0,proposed_branch_mechanism,0.6217,0.0144
1.0,oracle_branch_upper_bound,0.7186,0.0158
