method,stress_level,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
failure_aware_rl_recovery,0.560000,10,0.681720,0.002467,0.085359,0.001503,0.236111,0.012047,0.123958,0.001453,0.073958,0.007663,0.193641,0.001178,0.145301,0.004605,0.358381,0.004960,0.667014,0.008812,1.000000,0.000000
failure_aware_rl_recovery,0.670000,10,0.679532,0.003653,0.084591,0.002451,0.237500,0.020194,0.126736,0.002091,0.085417,0.009029,0.198333,0.002702,0.140098,0.006696,0.354599,0.007278,0.686806,0.018480,1.000000,0.000000
failure_aware_rl_recovery,0.780000,10,0.678382,0.003256,0.082882,0.002369,0.225000,0.020959,0.126389,0.003077,0.089583,0.008476,0.203163,0.002921,0.132790,0.006728,0.353828,0.006415,0.707292,0.019410,1.000000,0.000000
failure_aware_rl_recovery,0.890000,10,0.678494,0.001372,0.080827,0.001118,0.213194,0.014639,0.126389,0.003823,0.116319,0.007609,0.211066,0.001148,0.123811,0.002568,0.352929,0.003038,0.745486,0.007927,1.000000,0.000000
failure_aware_rl_recovery,1.000000,10,0.674205,0.003047,0.079812,0.002069,0.209028,0.015177,0.130903,0.003665,0.126042,0.010497,0.215747,0.002141,0.120202,0.005582,0.347595,0.005704,0.765972,0.014674,1.000000,0.000000
information_gain_probe_policy,0.000000,10,0.583845,0.001933,0.101909,0.002745,0.483333,0.022338,0.365278,0.007845,0.059375,0.008145,0.210841,0.002746,0.331048,0.006575,0.212057,0.006134,0.667708,0.018927,1.000000,0.000000
information_gain_probe_policy,0.110000,10,0.577444,0.002292,0.099852,0.002096,0.480903,0.020373,0.372917,0.007259,0.076389,0.007174,0.217962,0.001877,0.327200,0.005243,0.205196,0.005631,0.701042,0.012970,1.000000,0.000000
information_gain_probe_policy,0.220000,10,0.573937,0.001691,0.096104,0.001687,0.478819,0.015097,0.382639,0.006637,0.081250,0.013881,0.224239,0.002401,0.316428,0.003815,0.205542,0.003610,0.731597,0.016360,1.000000,0.000000
information_gain_probe_policy,0.330000,10,0.564833,0.002371,0.095747,0.002228,0.448611,0.014589,0.381250,0.009560,0.105903,0.007875,0.230481,0.002575,0.318427,0.005115,0.192852,0.005351,0.756944,0.016200,1.000000,0.000000
information_gain_probe_policy,0.440000,10,0.559137,0.002002,0.095088,0.001502,0.432292,0.022939,0.384375,0.004871,0.107639,0.010043,0.234260,0.002080,0.316117,0.003484,0.185960,0.003812,0.768056,0.013336,1.000000,0.000000
information_gain_probe_policy,0.560000,10,0.551912,0.002353,0.095085,0.001626,0.412153,0.012134,0.396528,0.008596,0.111806,0.007845,0.237807,0.002126,0.315002,0.004077,0.176031,0.004369,0.775000,0.012825,0.998958,0.001453
information_gain_probe_policy,0.670000,10,0.543631,0.002702,0.094828,0.001771,0.409375,0.022582,0.394792,0.004871,0.121875,0.006452,0.242402,0.001742,0.316333,0.004931,0.165023,0.005745,0.787847,0.010269,0.998611,0.001505
information_gain_probe_policy,0.780000,10,0.539358,0.002397,0.093831,0.001256,0.394097,0.019468,0.409722,0.013573,0.134375,0.008963,0.247366,0.002421,0.313041,0.003495,0.159544,0.003582,0.806597,0.013763,0.998958,0.001040
information_gain_probe_policy,0.890000,10,0.532683,0.002026,0.092667,0.001251,0.380556,0.014674,0.415972,0.009063,0.131250,0.009981,0.251437,0.002066,0.309395,0.002810,0.152427,0.003104,0.819444,0.010879,0.998264,0.001134
information_gain_probe_policy,1.000000,10,0.523729,0.002722,0.091394,0.001363,0.355903,0.015888,0.426042,0.004975,0.150000,0.010484,0.257831,0.002037,0.311257,0.003763,0.141341,0.004285,0.843056,0.011952,0.996181,0.002577
oracle_disagreement_type,0.000000,10,0.691671,0.001333,0.069651,0.000504,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.155284,0.000000,0.113366,0.001417,0.429740,0.002413,0.750000,0.000000,1.000000,0.000000
oracle_disagreement_type,0.110000,10,0.684551,0.001238,0.071379,0.000469,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.157416,0.000000,0.115069,0.001374,0.417326,0.002202,0.750000,0.000000,1.000000,0.000000
oracle_disagreement_type,0.220000,10,0.677648,0.000870,0.072915,0.000318,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.159547,0.000000,0.116416,0.000881,0.405553,0.001506,0.750000,0.000000,1.000000,0.000000
oracle_disagreement_type,0.330000,10,0.669511,0.001283,0.074716,0.000307,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.161678,0.000000,0.119319,0.001520,0.391961,0.001948,0.750000,0.000000,1.000000,0.000000
oracle_disagreement_type,0.440000,10,0.663812,0.001424,0.075853,0.000444,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.163809,0.000000,0.119808,0.001767,0.382270,0.002343,0.750000,0.000000,1.000000,0.000000
oracle_disagreement_type,0.560000,10,0.655616,0.001421,0.077559,0.000399,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.166134,0.000000,0.122340,0.001595,0.368693,0.002274,0.750000,0.000000,1.000000,0.000000
oracle_disagreement_type,0.670000,10,0.648290,0.001567,0.079191,0.000557,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.168266,0.000000,0.125071,0.001642,0.356285,0.002782,0.750000,0.000000,1.000000,0.000000
oracle_disagreement_type,0.780000,10,0.642738,0.001750,0.080270,0.000610,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.170397,0.000000,0.125718,0.001798,0.346867,0.003078,0.750000,0.000000,1.000000,0.000000
oracle_disagreement_type,0.890000,10,0.634858,0.001237,0.082194,0.000506,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.172528,0.000000,0.128561,0.001458,0.333261,0.002310,0.750000,0.000000,1.000000,0.000000
oracle_disagreement_type,1.000000,10,0.626287,0.001822,0.083864,0.000464,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.174659,0.000000,0.133073,0.001973,0.319524,0.002826,0.750000,0.000000,1.000000,0.000000
recovery_first_policy,0.000000,10,0.716739,0.006278,0.091186,0.002822,0.221528,0.012944,0.119792,0.001829,0.054861,0.008774,0.161684,0.002239,0.159934,0.009624,0.401423,0.010876,0.565972,0.015419,0.993056,0.002684
recovery_first_policy,0.110000,10,0.716698,0.004346,0.090291,0.001609,0.212500,0.013375,0.120139,0.002905,0.062500,0.006496,0.166278,0.001721,0.151809,0.006356,0.400288,0.006747,0.586806,0.011831,0.993750,0.003334
recovery_first_policy,0.220000,10,0.710988,0.004393,0.089561,0.002256,0.206250,0.018985,0.119792,0.004785,0.063194,0.009878,0.169879,0.002647,0.150119,0.007169,0.392593,0.007207,0.599306,0.017519,0.988889,0.003485
recovery_first_policy,0.330000,10,0.702799,0.002771,0.087925,0.001741,0.209722,0.013881,0.119097,0.002495,0.080903,0.010594,0.175138,0.001792,0.150481,0.004018,0.382490,0.004527,0.621528,0.011918,0.980556,0.003823
recovery_first_policy,0.440000,10,0.700471,0.005535,0.084006,0.001930,0.193750,0.013451,0.117361,0.003010,0.090278,0.013150,0.181711,0.002594,0.142538,0.008001,0.382426,0.008219,0.652083,0.016848,0.972569,0.005016
recovery_first_policy,0.560000,10,0.697819,0.005283,0.081586,0.002628,0.185069,0.008307,0.117014,0.003665,0.099653,0.010398,0.187884,0.002396,0.135863,0.007070,0.379706,0.007374,0.678472,0.014917,0.967708,0.008056
recovery_first_policy,0.670000,10,0.692255,0.004945,0.081013,0.001601,0.172569,0.008730,0.117014,0.001772,0.108681,0.007595,0.192140,0.001621,0.134909,0.006200,0.371738,0.006997,0.693403,0.009839,0.964583,0.005898
recovery_first_policy,0.780000,10,0.685669,0.008197,0.077533,0.002037,0.169444,0.014660,0.112500,0.004780,0.117014,0.007862,0.198501,0.001950,0.132705,0.010036,0.365986,0.011165,0.720139,0.011532,0.953819,0.009734
recovery_first_policy,0.890000,10,0.674484,0.007785,0.076401,0.002844,0.176736,0.015367,0.112500,0.005193,0.122222,0.007975,0.202636,0.002891,0.136429,0.009088,0.351877,0.009463,0.732986,0.016929,0.942361,0.011397
recovery_first_policy,1.000000,10,0.670367,0.004819,0.074955,0.001920,0.176736,0.014147,0.113889,0.004949,0.134375,0.009786,0.207787,0.002588,0.133495,0.006464,0.346572,0.006930,0.752083,0.015426,0.938889,0.004083
risk_bounded_typed_disagreement_protocol_v5,0.000000,10,0.611275,0.003262,0.115347,0.001776,0.639583,0.021492,0.512153,0.008974,0.001736,0.001134,0.185907,0.001216,0.315728,0.006537,0.227377,0.006441,0.516319,0.009020,1.000000,0.000000
risk_bounded_typed_disagreement_protocol_v5,0.110000,10,0.611127,0.002164,0.113359,0.001322,0.626042,0.013384,0.533333,0.007871,0.000694,0.001361,0.190312,0.001006,0.303877,0.004283,0.228519,0.004427,0.537153,0.007459,1.000000,0.000000
risk_bounded_typed_disagreement_protocol_v5,0.220000,10,0.609861,0.005233,0.112253,0.003038,0.617708,0.015731,0.538194,0.017513,0.002431,0.002042,0.192969,0.002302,0.294143,0.010947,0.227826,0.010368,0.547569,0.017248,1.000000,0.000000
risk_bounded_typed_disagreement_protocol_v5,0.330000,10,0.604544,0.005340,0.112998,0.003233,0.585069,0.028501,0.543750,0.016583,0.002431,0.001453,0.195384,0.002199,0.292101,0.010672,0.219178,0.010918,0.553472,0.015951,1.000000,0.000000
risk_bounded_typed_disagreement_protocol_v5,0.440000,10,0.607611,0.005426,0.109732,0.002914,0.572222,0.016194,0.561458,0.016042,0.002431,0.001453,0.199580,0.001881,0.275583,0.010338,0.226494,0.010567,0.573958,0.014598,1.000000,0.000000
risk_bounded_typed_disagreement_protocol_v5,0.560000,10,0.606410,0.004062,0.108139,0.002768,0.577083,0.020081,0.577083,0.015041,0.003125,0.001884,0.203389,0.002168,0.264977,0.008604,0.226055,0.008604,0.589236,0.014668,0.999653,0.000681
risk_bounded_typed_disagreement_protocol_v5,0.670000,10,0.601885,0.001967,0.109062,0.001191,0.546181,0.021546,0.573958,0.007389,0.004167,0.002223,0.204933,0.001073,0.262937,0.003588,0.218419,0.004054,0.589931,0.007062,0.999653,0.000681
risk_bounded_typed_disagreement_protocol_v5,0.780000,10,0.599709,0.001996,0.109269,0.001975,0.530903,0.014612,0.573958,0.015881,0.007986,0.003936,0.207403,0.002534,0.258528,0.005226,0.214058,0.004379,0.597222,0.016359,0.999653,0.000681
risk_bounded_typed_disagreement_protocol_v5,0.890000,10,0.596164,0.002562,0.108396,0.001236,0.494444,0.018239,0.586111,0.008715,0.007639,0.002443,0.211208,0.001071,0.252050,0.004401,0.209772,0.004816,0.612500,0.006432,0.999653,0.000681
risk_bounded_typed_disagreement_protocol_v5,1.000000,10,0.588343,0.004442,0.109698,0.002287,0.471528,0.017537,0.578472,0.013694,0.014236,0.003856,0.213182,0.002257,0.255352,0.008219,0.197246,0.007848,0.614931,0.014399,0.997569,0.002694
robust_mpc_fallback,0.000000,10,0.648273,0.002863,0.109388,0.001521,0.207986,0.011543,0.233333,0.004033,0.027083,0.006480,0.137440,0.001156,0.238016,0.005035,0.311181,0.005381,0.462847,0.009734,0.998958,0.001040
robust_mpc_fallback,0.110000,10,0.644487,0.004560,0.109498,0.001999,0.196875,0.010546,0.227083,0.005575,0.032639,0.006270,0.140745,0.001337,0.233872,0.007547,0.304458,0.008392,0.481250,0.011709,0.997222,0.002223
robust_mpc_fallback,0.220000,10,0.641130,0.002743,0.109271,0.002025,0.194444,0.018233,0.231250,0.005482,0.044444,0.006940,0.144879,0.001675,0.230256,0.005126,0.297867,0.005710,0.505903,0.013307,0.993403,0.003280
robust_mpc_fallback,0.330000,10,0.637780,0.003975,0.107853,0.002280,0.186806,0.012417,0.229167,0.002485,0.043403,0.010506,0.148581,0.001708,0.222901,0.007918,0.294282,0.008074,0.525694,0.014813,0.989931,0.002577
robust_mpc_fallback,0.440000,10,0.634718,0.003358,0.108151,0.003000,0.179167,0.010053,0.229514,0.004115,0.053472,0.007673,0.151795,0.002173,0.220252,0.007295,0.287702,0.007802,0.541319,0.017050,0.987153,0.003216
robust_mpc_fallback,0.560000,10,0.632462,0.004248,0.104056,0.001523,0.171181,0.015118,0.225694,0.005739,0.058333,0.009063,0.158448,0.001676,0.208299,0.005779,0.288269,0.006173,0.581597,0.012436,0.980208,0.004189
robust_mpc_fallback,0.670000,10,0.630156,0.004057,0.101849,0.002289,0.163542,0.009541,0.224306,0.004445,0.088194,0.010256,0.165928,0.002176,0.202969,0.007073,0.284133,0.007432,0.627431,0.016392,0.973611,0.004445
robust_mpc_fallback,0.780000,10,0.617763,0.003640,0.103124,0.001725,0.165625,0.011963,0.219792,0.005743,0.087153,0.005955,0.167671,0.001795,0.212749,0.005681,0.264888,0.006041,0.625694,0.013717,0.960764,0.003936
