baseline,metric,direction,proposed_mean,baseline_mean,mean_diff_proposed_minus_baseline,ci95_diff,lower95,upper95,winner,paired_seeds
bayesian_active_model_selection,planning_regret_to_oracle,lower,0.326405,0.331749,-0.005344,0.013766,-0.019110,0.008421,statistical_tie,10
bayesian_active_model_selection,disagreement_family_accuracy,higher,0.497917,0.372222,0.125694,0.015177,0.110517,0.140871,risk_bounded_typed_disagreement_protocol_v5,10
bayesian_active_model_selection,useful_disagreement_recall,higher,0.543403,0.514236,0.029167,0.023775,0.005392,0.052942,risk_bounded_typed_disagreement_protocol_v5,10
bayesian_active_model_selection,noise_false_alarm_rate,lower,0.110069,0.159028,-0.048958,0.011041,-0.060000,-0.037917,risk_bounded_typed_disagreement_protocol_v5,10
bayesian_active_model_selection,robust_utility,higher,0.127868,0.122524,0.005344,0.013766,-0.008421,0.019110,statistical_tie,10
bayesian_active_model_selection,deployment_coverage,higher,0.863889,0.832986,0.030903,0.017875,0.013027,0.048778,risk_bounded_typed_disagreement_protocol_v5,10
recovery_first_policy,task_success,higher,0.522712,0.596965,-0.074253,0.008550,-0.082802,-0.065703,recovery_first_policy,10
recovery_first_policy,unsafe_commit_rate,lower,0.090384,0.057355,0.033028,0.003074,0.029955,0.036102,recovery_first_policy,10
recovery_first_policy,planning_regret_to_oracle,lower,0.326405,0.208695,0.117710,0.010062,0.107647,0.127772,recovery_first_policy,10
recovery_first_policy,disagreement_family_accuracy,higher,0.497917,0.163889,0.334028,0.016756,0.317271,0.350784,risk_bounded_typed_disagreement_protocol_v5,10
recovery_first_policy,useful_disagreement_recall,higher,0.543403,0.096181,0.447222,0.013375,0.433848,0.460597,risk_bounded_typed_disagreement_protocol_v5,10
recovery_first_policy,noise_false_alarm_rate,lower,0.110069,0.180556,-0.070486,0.007730,-0.078216,-0.062756,risk_bounded_typed_disagreement_protocol_v5,10
recovery_first_policy,robust_utility,higher,0.127868,0.270889,-0.143021,0.010499,-0.153520,-0.132522,recovery_first_policy,10
recovery_first_policy,deployment_coverage,higher,0.863889,0.804861,0.059028,0.014979,0.044049,0.074007,risk_bounded_typed_disagreement_protocol_v5,10
typed_disagreement_protocol_v4,task_success,higher,0.522712,0.450026,0.072687,0.010025,0.062662,0.082712,risk_bounded_typed_disagreement_protocol_v5,10
typed_disagreement_protocol_v4,unsafe_commit_rate,lower,0.090384,0.054635,0.035748,0.002277,0.033471,0.038025,typed_disagreement_protocol_v4,10
typed_disagreement_protocol_v4,planning_regret_to_oracle,lower,0.326405,0.367185,-0.040780,0.013217,-0.053997,-0.027563,risk_bounded_typed_disagreement_protocol_v5,10
typed_disagreement_protocol_v4,disagreement_family_accuracy,higher,0.497917,0.452083,0.045833,0.024217,0.021616,0.070050,risk_bounded_typed_disagreement_protocol_v5,10
typed_disagreement_protocol_v4,useful_disagreement_recall,higher,0.543403,0.502431,0.040972,0.018284,0.022688,0.059256,risk_bounded_typed_disagreement_protocol_v5,10
typed_disagreement_protocol_v4,noise_false_alarm_rate,lower,0.110069,0.176736,-0.066667,0.012292,-0.078959,-0.054375,risk_bounded_typed_disagreement_protocol_v5,10
typed_disagreement_protocol_v4,robust_utility,higher,0.127868,0.087088,0.040780,0.013217,0.027563,0.053997,risk_bounded_typed_disagreement_protocol_v5,10
typed_disagreement_protocol_v4,deployment_coverage,higher,0.863889,0.714931,0.148958,0.015367,0.133591,0.164326,risk_bounded_typed_disagreement_protocol_v5,10
