baseline,metric,direction,proposed_mean,baseline_mean,mean_diff_proposed_minus_baseline,ci95_diff,lower95,upper95,winner,paired_seeds
conformal_risk_filter,task_success,higher,0.522712,0.131417,0.391295,0.009707,0.381588,0.401002,risk_bounded_typed_disagreement_protocol_v5,10
conformal_risk_filter,unsafe_commit_rate,lower,0.090384,0.026596,0.063788,0.002848,0.060940,0.066636,conformal_risk_filter,10
conformal_risk_filter,planning_regret_to_oracle,lower,0.326405,0.720530,-0.394125,0.012927,-0.407052,-0.381199,risk_bounded_typed_disagreement_protocol_v5,10
conformal_risk_filter,disagreement_family_accuracy,higher,0.497917,0.175000,0.322917,0.013762,0.309155,0.336678,risk_bounded_typed_disagreement_protocol_v5,10
conformal_risk_filter,useful_disagreement_recall,higher,0.543403,0.005208,0.538194,0.014876,0.523319,0.553070,risk_bounded_typed_disagreement_protocol_v5,10
conformal_risk_filter,noise_false_alarm_rate,lower,0.110069,0.185764,-0.075694,0.005444,-0.081139,-0.070250,risk_bounded_typed_disagreement_protocol_v5,10
conformal_risk_filter,robust_utility,higher,0.127868,-0.266258,0.394125,0.012927,0.381199,0.407052,risk_bounded_typed_disagreement_protocol_v5,10
conformal_risk_filter,deployment_coverage,higher,0.863889,0.157986,0.705903,0.014633,0.691270,0.720536,risk_bounded_typed_disagreement_protocol_v5,10
robust_mpc_fallback,task_success,higher,0.522712,0.367663,0.155049,0.012604,0.142445,0.167653,risk_bounded_typed_disagreement_protocol_v5,10
robust_mpc_fallback,unsafe_commit_rate,lower,0.090384,0.050384,0.040000,0.002840,0.037160,0.042840,robust_mpc_fallback,10
robust_mpc_fallback,planning_regret_to_oracle,lower,0.326405,0.461350,-0.134945,0.015173,-0.150118,-0.119772,risk_bounded_typed_disagreement_protocol_v5,10
robust_mpc_fallback,disagreement_family_accuracy,higher,0.497917,0.146528,0.351389,0.016130,0.335258,0.367519,risk_bounded_typed_disagreement_protocol_v5,10
robust_mpc_fallback,useful_disagreement_recall,higher,0.543403,0.128472,0.414931,0.013392,0.401539,0.428323,risk_bounded_typed_disagreement_protocol_v5,10
robust_mpc_fallback,noise_false_alarm_rate,lower,0.110069,0.175347,-0.065278,0.007646,-0.072924,-0.057632,risk_bounded_typed_disagreement_protocol_v5,10
robust_mpc_fallback,robust_utility,higher,0.127868,-0.003897,0.131765,0.015413,0.116352,0.147177,risk_bounded_typed_disagreement_protocol_v5,10
robust_mpc_fallback,deployment_coverage,higher,0.863889,0.518403,0.345486,0.016303,0.329183,0.361789,risk_bounded_typed_disagreement_protocol_v5,10
failure_aware_rl_recovery,task_success,higher,0.522712,0.577289,-0.054577,0.012738,-0.067315,-0.041839,failure_aware_rl_recovery,10
failure_aware_rl_recovery,unsafe_commit_rate,lower,0.090384,0.059033,0.031351,0.002474,0.028876,0.033825,failure_aware_rl_recovery,10
failure_aware_rl_recovery,planning_regret_to_oracle,lower,0.326405,0.233045,0.093360,0.015619,0.077741,0.108978,failure_aware_rl_recovery,10
failure_aware_rl_recovery,disagreement_family_accuracy,higher,0.497917,0.196528,0.301389,0.015007,0.286382,0.316395,risk_bounded_typed_disagreement_protocol_v5,10
failure_aware_rl_recovery,useful_disagreement_recall,higher,0.543403,0.123264,0.420139,0.014203,0.405936,0.434342,risk_bounded_typed_disagreement_protocol_v5,10
failure_aware_rl_recovery,noise_false_alarm_rate,lower,0.110069,0.178125,-0.068056,0.006821,-0.074876,-0.061235,risk_bounded_typed_disagreement_protocol_v5,10
failure_aware_rl_recovery,robust_utility,higher,0.127868,0.236807,-0.108940,0.015966,-0.124905,-0.092974,failure_aware_rl_recovery,10
failure_aware_rl_recovery,deployment_coverage,higher,0.863889,0.794444,0.069444,0.017601,0.051843,0.087046,risk_bounded_typed_disagreement_protocol_v5,10
worldbench_diagnostic_probe,task_success,higher,0.522712,0.502246,0.020467,0.007505,0.012961,0.027972,risk_bounded_typed_disagreement_protocol_v5,10
worldbench_diagnostic_probe,unsafe_commit_rate,lower,0.090384,0.077061,0.013322,0.001810,0.011512,0.015132,worldbench_diagnostic_probe,10
worldbench_diagnostic_probe,planning_regret_to_oracle,lower,0.326405,0.322560,0.003844,0.011243,-0.007399,0.015088,statistical_tie,10
worldbench_diagnostic_probe,disagreement_family_accuracy,higher,0.497917,0.395486,0.102431,0.019887,0.082544,0.122317,risk_bounded_typed_disagreement_protocol_v5,10
worldbench_diagnostic_probe,useful_disagreement_recall,higher,0.543403,0.396528,0.146875,0.014563,0.132312,0.161438,risk_bounded_typed_disagreement_protocol_v5,10
worldbench_diagnostic_probe,noise_false_alarm_rate,lower,0.110069,0.248264,-0.138194,0.005721,-0.143915,-0.132473,risk_bounded_typed_disagreement_protocol_v5,10
worldbench_diagnostic_probe,robust_utility,higher,0.127868,0.131712,-0.003844,0.011243,-0.015088,0.007399,statistical_tie,10
worldbench_diagnostic_probe,deployment_coverage,higher,0.863889,0.980903,-0.117014,0.008847,-0.125861,-0.108167,worldbench_diagnostic_probe,10
bayesian_active_model_selection,task_success,higher,0.522712,0.491432,0.031280,0.010878,0.020403,0.042158,risk_bounded_typed_disagreement_protocol_v5,10
bayesian_active_model_selection,unsafe_commit_rate,lower,0.090384,0.081058,0.009326,0.002550,0.006776,0.011876,bayesian_active_model_selection,10
