baseline,metric,direction,proposed_mean,baseline_mean,mean_diff_proposed_minus_baseline,ci95_diff,lower95,upper95,winner,paired_seeds
mean_ensemble_policy,task_success,higher,0.596306,0.457567,0.138738,0.002750,0.135988,0.141488,risk_bounded_typed_disagreement_protocol_v5,10
mean_ensemble_policy,unsafe_commit_rate,lower,0.117387,0.197558,-0.080172,0.002042,-0.082213,-0.078130,risk_bounded_typed_disagreement_protocol_v5,10
mean_ensemble_policy,planning_regret_to_oracle,lower,0.283499,0.496832,-0.213334,0.004378,-0.217712,-0.208956,risk_bounded_typed_disagreement_protocol_v5,10
mean_ensemble_policy,disagreement_family_accuracy,higher,0.536024,0.016146,0.519878,0.008584,0.511295,0.528462,risk_bounded_typed_disagreement_protocol_v5,10
mean_ensemble_policy,useful_disagreement_recall,higher,0.493663,0.000000,0.493663,0.005592,0.488072,0.499255,risk_bounded_typed_disagreement_protocol_v5,10
mean_ensemble_policy,noise_false_alarm_rate,lower,0.008073,0.007378,0.000694,0.001978,-0.001283,0.002672,statistical_tie,10
mean_ensemble_policy,robust_utility,higher,0.202035,-0.010205,0.212240,0.004409,0.207831,0.216649,risk_bounded_typed_disagreement_protocol_v5,10
mean_ensemble_policy,deployment_coverage,higher,0.999392,0.944965,0.054427,0.005167,0.049260,0.059594,risk_bounded_typed_disagreement_protocol_v5,10
variance_threshold_abstention,task_success,higher,0.596306,0.250616,0.345690,0.002821,0.342869,0.348511,risk_bounded_typed_disagreement_protocol_v5,10
variance_threshold_abstention,unsafe_commit_rate,lower,0.117387,0.052610,0.064777,0.001420,0.063357,0.066196,variance_threshold_abstention,10
variance_threshold_abstention,planning_regret_to_oracle,lower,0.283499,0.610357,-0.326859,0.004234,-0.331092,-0.322625,risk_bounded_typed_disagreement_protocol_v5,10
variance_threshold_abstention,disagreement_family_accuracy,higher,0.536024,0.118750,0.417274,0.012259,0.405016,0.429533,risk_bounded_typed_disagreement_protocol_v5,10
variance_threshold_abstention,useful_disagreement_recall,higher,0.493663,0.015278,0.478385,0.005231,0.473154,0.483617,risk_bounded_typed_disagreement_protocol_v5,10
variance_threshold_abstention,noise_false_alarm_rate,lower,0.008073,0.150955,-0.142882,0.002916,-0.145798,-0.139966,risk_bounded_typed_disagreement_protocol_v5,10
variance_threshold_abstention,robust_utility,higher,0.202035,-0.124607,0.326642,0.004246,0.322396,0.330888,risk_bounded_typed_disagreement_protocol_v5,10
variance_threshold_abstention,deployment_coverage,higher,0.999392,0.373524,0.625868,0.004259,0.621609,0.630127,risk_bounded_typed_disagreement_protocol_v5,10
conformal_risk_filter,task_success,higher,0.596306,0.252602,0.343704,0.003087,0.340617,0.346791,risk_bounded_typed_disagreement_protocol_v5,10
conformal_risk_filter,unsafe_commit_rate,lower,0.117387,0.055300,0.062086,0.001591,0.060495,0.063678,conformal_risk_filter,10
