method,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
bayesian_active_model_selection,10,0.576786,0.002212,0.122120,0.001717,0.400781,0.008564,0.468490,0.007801,0.033594,0.002123,0.164855,0.001444,0.292828,0.005058,0.192705,0.005003,0.522049,0.009632,0.999913,0.000170
conformal_risk_filter,10,0.252602,0.003032,0.055300,0.001184,0.190191,0.006874,0.054688,0.002672,0.141927,0.003424,0.190748,0.001267,0.624852,0.003382,-0.139318,0.003465,0.717969,0.007799,0.378472,0.005609
ensemble_forecasting_calibrator,10,0.551197,0.001717,0.137311,0.001212,0.330990,0.007988,0.251736,0.006166,0.050694,0.003848,0.121111,0.001138,0.322114,0.003559,0.163419,0.003722,0.430122,0.007912,0.995833,0.001620
failure_aware_rl_recovery,10,0.684250,0.000899,0.083641,0.000471,0.229774,0.008049,0.126736,0.000717,0.082813,0.003489,0.197362,0.000535,0.136819,0.001330,0.362086,0.001520,0.677431,0.004123,1.000000,0.000000
information_gain_probe_policy,10,0.537719,0.001110,0.114318,0.000713,0.421354,0.004873,0.326215,0.005197,0.095660,0.003410,0.217258,0.000759,0.351682,0.002130,0.133851,0.002319,0.629948,0.005345,0.998698,0.000523
mean_ensemble_policy,10,0.457567,0.002219,0.197558,0.001550,0.016146,0.002199,0.000000,0.000000,0.007378,0.001223,0.030053,0.000927,0.496832,0.002149,-0.010205,0.002726,0.055035,0.005080,0.944965,0.005080
oracle_disagreement_type,10,0.652842,0.000802,0.077526,0.000242,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.168120,0.000000,0.120933,0.000858,0.364600,0.001324,0.750000,0.000000,1.000000,0.000000
recovery_first_policy,10,0.688657,0.002692,0.078959,0.000987,0.185417,0.008805,0.115712,0.001502,0.105729,0.002308,0.191126,0.001107,0.138818,0.003680,0.371191,0.003647,0.686372,0.006806,0.954688,0.003522
risk_bounded_typed_disagreement_protocol_v5,10,0.596306,0.001719,0.117387,0.001422,0.536024,0.009578,0.493663,0.005592,0.008073,0.001294,0.194124,0.001152,0.283499,0.004089,0.202035,0.003997,0.519705,0.007940,0.999392,0.000443
robust_mpc_fallback,10,0.624382,0.003965,0.101200,0.001463,0.167708,0.005596,0.222917,0.003466,0.079167,0.003031,0.163558,0.001323,0.212191,0.006241,0.278849,0.006299,0.603819,0.010532,0.961806,0.004319
typed_disagreement_protocol_v4,10,0.609751,0.001936,0.076477,0.000421,0.510417,0.007061,0.636979,0.006440,0.048872,0.002756,0.219701,0.000846,0.207066,0.002478,0.278467,0.002331,0.757205,0.004480,0.957986,0.003376
uncertainty_aware_mppi,10,0.641566,0.001711,0.109975,0.001137,0.291840,0.005727,0.248958,0.002534,0.042969,0.003329,0.158580,0.001142,0.201061,0.003454,0.288614,0.003449,0.537066,0.009250,1.000000,0.000000
variance_threshold_abstention,10,0.250616,0.002751,0.052610,0.000885,0.118750,0.005871,0.015278,0.002032,0.150955,0.003331,0.173795,0.000901,0.610357,0.003546,-0.124607,0.003873,0.746094,0.005206,0.373524,0.004305
worldbench_diagnostic_probe,10,0.539833,0.001312,0.087173,0.000632,0.453299,0.009169,0.390278,0.003035,0.206337,0.002014,0.257518,0.000638,0.317743,0.001899,0.167790,0.002250,0.894878,0.003941,1.000000,0.000000
