method,split,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
failure_aware_rl_recovery,rare_adversarial_shift,10,0.678009,0.001507,0.080370,0.001160,0.196875,0.014808,0.128472,0.004058,0.136111,0.008536,0.216548,0.001454,0.120377,0.002603,0.349611,0.002757,0.781250,0.010145,1.000000,0.000000
failure_aware_rl_recovery,sensor_noise_shift,10,0.690154,0.002548,0.092373,0.001821,0.264236,0.015862,0.125694,0.002646,0.026389,0.005482,0.169827,0.001149,0.168752,0.005083,0.368054,0.005590,0.514931,0.009786,1.000000,0.000000
information_gain_probe_policy,combined_disagreement_stress,10,0.540943,0.002525,0.092653,0.001854,0.423264,0.011543,0.405903,0.007555,0.136458,0.009680,0.247564,0.002308,0.312728,0.004753,0.163581,0.004881,0.814931,0.014563,0.998958,0.001040
information_gain_probe_policy,controller_instability_shift,10,0.538045,0.001846,0.143806,0.002131,0.455556,0.021943,0.209375,0.013726,0.023264,0.005561,0.172455,0.002734,0.402701,0.004526,0.100265,0.004463,0.363889,0.017828,0.996875,0.002140
information_gain_probe_policy,goal_ambiguity_shift,10,0.554993,0.001810,0.125581,0.002262,0.424306,0.016602,0.259722,0.008891,0.027431,0.004358,0.188712,0.002183,0.362973,0.005030,0.146311,0.005388,0.468750,0.013535,0.998611,0.001111
information_gain_probe_policy,model_misspecification_shift,10,0.549684,0.002919,0.134871,0.002264,0.429861,0.019190,0.263194,0.013220,0.026389,0.004083,0.180475,0.002519,0.382027,0.005678,0.126559,0.006473,0.418750,0.016799,0.999653,0.000681
information_gain_probe_policy,nominal_disagreement,10,0.560704,0.001554,0.168130,0.001038,0.510417,0.017776,0.019444,0.005933,0.000347,0.000681,0.118729,0.000796,0.454220,0.002789,0.107632,0.003272,0.026736,0.005653,0.999653,0.000681
information_gain_probe_policy,ood_action_shift,10,0.548088,0.002093,0.145060,0.002688,0.445833,0.021454,0.187847,0.013778,0.014931,0.005373,0.164022,0.002574,0.402848,0.005844,0.113759,0.005819,0.317014,0.016074,0.998264,0.001522
information_gain_probe_policy,rare_adversarial_shift,10,0.522203,0.001873,0.085943,0.001067,0.376736,0.018041,0.426389,0.009063,0.196528,0.007871,0.268536,0.001720,0.309273,0.003093,0.144999,0.002842,0.922222,0.010206,0.999306,0.000907
information_gain_probe_policy,sensor_noise_shift,10,0.562372,0.001855,0.134303,0.001721,0.430208,0.016899,0.214236,0.012344,0.011458,0.003522,0.171767,0.002001,0.380162,0.003890,0.146516,0.004099,0.370139,0.013274,0.999306,0.000907
mean_ensemble_policy,combined_disagreement_stress,10,0.441262,0.003881,0.200566,0.003384,0.012847,0.004543,0.000000,0.000000,0.006250,0.002443,0.032070,0.002014,0.514137,0.003876,-0.036945,0.004460,0.065972,0.010927,0.934028,0.010927
mean_ensemble_policy,controller_instability_shift,10,0.495383,0.003493,0.196656,0.000633,0.021181,0.004358,0.000000,0.000000,0.000347,0.000681,0.022606,0.000627,0.460635,0.004724,0.043784,0.005650,0.014236,0.003433,0.985764,0.003433
mean_ensemble_policy,goal_ambiguity_shift,10,0.504245,0.002154,0.192367,0.001881,0.026736,0.006500,0.000000,0.000000,0.000000,0.000000,0.022658,0.000867,0.449068,0.003657,0.061968,0.004393,0.014583,0.004737,0.985417,0.004737
mean_ensemble_policy,model_misspecification_shift,10,0.500561,0.003594,0.194400,0.001980,0.021875,0.005653,0.000000,0.000000,0.002083,0.001505,0.022597,0.000914,0.456073,0.005138,0.053931,0.006557,0.014236,0.005016,0.985764,0.005016
mean_ensemble_policy,nominal_disagreement,10,0.557245,0.001327,0.172170,0.000723,0.043750,0.009419,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.399088,0.001950,0.164471,0.002635,0.000000,0.000000,1.000000,0.000000
mean_ensemble_policy,ood_action_shift,10,0.511592,0.003311,0.190852,0.001725,0.024653,0.005955,0.000000,0.000000,0.000000,0.000000,0.021713,0.000846,0.443760,0.004563,0.074456,0.005640,0.009375,0.004655,0.990625,0.004655
mean_ensemble_policy,rare_adversarial_shift,10,0.393064,0.003637,0.198611,0.003369,0.008681,0.004214,0.000000,0.000000,0.020833,0.004422,0.042938,0.002058,0.556484,0.003418,-0.101590,0.003920,0.125694,0.011334,0.874306,0.011334
mean_ensemble_policy,sensor_noise_shift,10,0.523596,0.002852,0.186501,0.001442,0.020833,0.006653,0.000000,0.000000,0.000347,0.000681,0.021142,0.000406,0.431358,0.004776,0.097120,0.005787,0.006250,0.002223,0.993750,0.002223
oracle_disagreement_type,combined_disagreement_stress,10,0.644367,0.001264,0.080074,0.000344,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.169234,0.000000,0.126569,0.001503,0.349740,0.001992,0.750000,0.000000,1.000000,0.000000
oracle_disagreement_type,controller_instability_shift,10,0.669540,0.001376,0.072600,0.000438,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.165941,0.000000,0.109305,0.001491,0.393660,0.002294,0.750000,0.000000,1.000000,0.000000
oracle_disagreement_type,goal_ambiguity_shift,10,0.676033,0.001134,0.070740,0.000340,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.165166,0.000000,0.104494,0.001474,0.404789,0.001803,0.750000,0.000000,1.000000,0.000000
oracle_disagreement_type,model_misspecification_shift,10,0.674339,0.001479,0.071338,0.000559,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.164972,0.000000,0.106670,0.001458,0.401916,0.002696,0.750000,0.000000,1.000000,0.000000
oracle_disagreement_type,nominal_disagreement,10,0.715016,0.001508,0.060192,0.000310,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.156253,0.000000,0.088634,0.001827,0.473217,0.002152,0.750000,0.000000,1.000000,0.000000
oracle_disagreement_type,ood_action_shift,10,0.680937,0.001293,0.069468,0.000431,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.163809,0.000000,0.103166,0.001291,0.413442,0.002199,0.750000,0.000000,1.000000,0.000000
oracle_disagreement_type,rare_adversarial_shift,10,0.623124,0.001489,0.086093,0.000364,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.172334,0.000000,0.141188,0.001791,0.313085,0.002189,0.750000,0.000000,1.000000,0.000000
oracle_disagreement_type,sensor_noise_shift,10,0.689526,0.001174,0.067110,0.000443,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.162259,0.000000,0.098376,0.001105,0.428302,0.002055,0.750000,0.000000,1.000000,0.000000
recovery_first_policy,combined_disagreement_stress,10,0.688341,0.003647,0.079486,0.001241,0.180903,0.021887,0.116319,0.004785,0.113889,0.008167,0.195488,0.001432,0.134523,0.004641,0.367539,0.005101,0.708333,0.008844,0.958681,0.004358
recovery_first_policy,controller_instability_shift,10,0.722372,0.003705,0.083857,0.002022,0.190972,0.019276,0.123264,0.001522,0.081944,0.008439,0.179799,0.002476,0.114837,0.006098,0.411952,0.006649,0.633333,0.015559,0.999653,0.000681
recovery_first_policy,goal_ambiguity_shift,10,0.704255,0.003539,0.093991,0.001578,0.197222,0.014938,0.119097,0.002042,0.056597,0.006959,0.165203,0.001807,0.148269,0.005216,0.381526,0.005957,0.544097,0.011658,0.998611,0.001111
recovery_first_policy,model_misspecification_shift,10,0.722353,0.002547,0.084399,0.001326,0.203125,0.022163,0.123611,0.001111,0.076736,0.005411,0.176287,0.001769,0.118480,0.004354,0.413045,0.004391,0.615972,0.011397,0.998958,0.001040
recovery_first_policy,nominal_disagreement,10,0.718618,0.002559,0.093569,0.001109,0.231250,0.016079,0.120833,0.001698,0.018403,0.003216,0.144352,0.001472,0.164187,0.003561,0.411719,0.004022,0.443403,0.010046,1.000000,0.000000
recovery_first_policy,ood_action_shift,10,0.718467,0.004147,0.087846,0.002147,0.210069,0.017956,0.123264,0.001134,0.064583,0.007116,0.169193,0.001904,0.131019,0.006663,0.406695,0.007751,0.576042,0.012319,0.999653,0.000681
recovery_first_policy,rare_adversarial_shift,10,0.621562,0.008774,0.068093,0.002429,0.166667,0.010145,0.099653,0.006733,0.150347,0.008730,0.212928,0.002243,0.187431,0.010194,0.292228,0.009973,0.787847,0.012608,0.861458,0.013666
recovery_first_policy,sensor_noise_shift,10,0.705155,0.002820,0.096300,0.001370,0.202431,0.015186,0.115278,0.002646,0.045833,0.009232,0.156251,0.001895,0.160847,0.004435,0.383843,0.004892,0.498958,0.012260,0.999653,0.000681
risk_bounded_typed_disagreement_protocol_v5,combined_disagreement_stress,10,0.598794,0.005270,0.109638,0.003445,0.530903,0.018161,0.567361,0.020371,0.007639,0.003176,0.206010,0.002918,0.262926,0.010739,0.213383,0.010755,0.593750,0.018457,1.000000,0.000000
risk_bounded_typed_disagreement_protocol_v5,controller_instability_shift,10,0.594146,0.005889,0.131334,0.004071,0.549653,0.017397,0.368056,0.021783,0.000694,0.000907,0.171553,0.003121,0.318071,0.012301,0.184895,0.012678,0.382639,0.021081,0.998958,0.001453
risk_bounded_typed_disagreement_protocol_v5,goal_ambiguity_shift,10,0.605535,0.003805,0.119805,0.001624,0.564931,0.021878,0.445486,0.009994,0.000694,0.000907,0.182639,0.001322,0.295243,0.006783,0.214040,0.006660,0.452083,0.009667,0.999653,0.000681
risk_bounded_typed_disagreement_protocol_v5,model_misspecification_shift,10,0.601910,0.003890,0.122235,0.002758,0.573958,0.014349,0.434722,0.017181,0.000694,0.001361,0.180625,0.002290,0.302031,0.008330,0.206555,0.008410,0.443750,0.015413,1.000000,0.000000
risk_bounded_typed_disagreement_protocol_v5,nominal_disagreement,10,0.590289,0.002765,0.148518,0.002365,0.661458,0.019913,0.149306,0.017306,0.000000,0.000000,0.135226,0.002325,0.392960,0.006645,0.168891,0.006294,0.149306,0.017306,1.000000,0.000000
risk_bounded_typed_disagreement_protocol_v5,ood_action_shift,10,0.594771,0.002564,0.132952,0.002112,0.590278,0.011020,0.346875,0.012526,0.000694,0.000907,0.166537,0.002133,0.330906,0.006066,0.185701,0.005714,0.353472,0.014123,1.000000,0.000000
risk_bounded_typed_disagreement_protocol_v5,rare_adversarial_shift,10,0.590372,0.002436,0.106339,0.002598,0.489583,0.022180,0.604514,0.011041,0.023264,0.004428,0.218308,0.002393,0.250966,0.006777,0.203306,0.006152,0.658681,0.016170,0.998611,0.001111
risk_bounded_typed_disagreement_protocol_v5,sensor_noise_shift,10,0.603476,0.003920,0.125615,0.002558,0.589236,0.022641,0.389236,0.012770,0.000000,0.000000,0.172237,0.001852,0.320120,0.007907,0.206558,0.008374,0.391319,0.012795,1.000000,0.000000
robust_mpc_fallback,combined_disagreement_stress,10,0.622243,0.003888,0.103531,0.002928,0.155556,0.011334,0.221875,0.004238,0.082639,0.009773,0.166048,0.002967,0.210499,0.006407,0.271212,0.006501,0.621875,0.022513,0.968056,0.005985
robust_mpc_fallback,controller_instability_shift,10,0.652087,0.001796,0.104943,0.001034,0.179514,0.011920,0.236111,0.003796,0.055903,0.007206,0.152231,0.000975,0.194256,0.003579,0.314574,0.003537,0.541319,0.007822,0.999653,0.000681
robust_mpc_fallback,goal_ambiguity_shift,10,0.643811,0.003741,0.111264,0.002496,0.175694,0.009528,0.218750,0.005739,0.032986,0.006023,0.142781,0.001778,0.215567,0.007695,0.298854,0.007824,0.467014,0.014212,0.998958,0.001040
robust_mpc_fallback,model_misspecification_shift,10,0.652796,0.003876,0.104957,0.002432,0.201736,0.013853,0.234028,0.004671,0.050694,0.003955,0.149617,0.001603,0.197461,0.007364,0.317005,0.008191,0.523958,0.013206,0.999306,0.000907
robust_mpc_fallback,nominal_disagreement,10,0.667273,0.002918,0.104335,0.001692,0.230903,0.013696,0.224306,0.004083,0.010417,0.002485,0.128816,0.001128,0.219801,0.005637,0.347565,0.005782,0.384028,0.009741,1.000000,0.000000
robust_mpc_fallback,ood_action_shift,10,0.654781,0.003261,0.105274,0.002076,0.188542,0.012714,0.233333,0.005538,0.039931,0.003693,0.146176,0.001472,0.201545,0.006458,0.320856,0.006771,0.501736,0.011885,1.000000,0.000000
robust_mpc_fallback,rare_adversarial_shift,10,0.570404,0.012170,0.091369,0.001927,0.134028,0.009029,0.199653,0.009201,0.127431,0.004189,0.186335,0.001752,0.246549,0.016914,0.212604,0.016847,0.728125,0.015686,0.880208,0.014428
robust_mpc_fallback,sensor_noise_shift,10,0.645642,0.002731,0.113031,0.001333,0.180208,0.014506,0.212500,0.005721,0.018056,0.003630,0.134866,0.001247,0.229290,0.004625,0.302492,0.004967,0.413889,0.010236,0.999653,0.000681
typed_disagreement_protocol_v4,combined_disagreement_stress,10,0.601891,0.003044,0.075898,0.000889,0.505903,0.013613,0.657986,0.011309,0.059028,0.004183,0.225965,0.001558,0.208737,0.004049,0.267573,0.004055,0.789583,0.008378,0.958333,0.004183
typed_disagreement_protocol_v4,controller_instability_shift,10,0.649457,0.001127,0.079468,0.001026,0.535764,0.018954,0.658681,0.007663,0.016319,0.003665,0.208233,0.001057,0.174483,0.001572,0.328482,0.002122,0.701389,0.005173,0.998264,0.001522
typed_disagreement_protocol_v4,goal_ambiguity_shift,10,0.652623,0.002664,0.079426,0.000964,0.521528,0.011735,0.662500,0.007441,0.016319,0.003522,0.205612,0.001359,0.175860,0.003776,0.333423,0.004355,0.689931,0.008430,0.997569,0.002042
typed_disagreement_protocol_v4,model_misspecification_shift,10,0.653681,0.001856,0.076946,0.000799,0.535417,0.024068,0.674306,0.007911,0.017708,0.006291,0.208353,0.001212,0.170414,0.002167,0.338171,0.003091,0.714583,0.006790,0.998264,0.001829
typed_disagreement_protocol_v4,nominal_disagreement,10,0.690054,0.001766,0.074048,0.000537,0.634028,0.010455,0.626736,0.002325,0.000694,0.000907,0.188471,0.000354,0.166631,0.002522,0.395220,0.002822,0.628472,0.002269,1.000000,0.000000
typed_disagreement_protocol_v4,ood_action_shift,10,0.658564,0.001558,0.076854,0.000721,0.556944,0.012841,0.662847,0.008081,0.015972,0.004328,0.205012,0.001255,0.170935,0.002492,0.345672,0.002296,0.700347,0.008056,0.998611,0.001505
typed_disagreement_protocol_v4,rare_adversarial_shift,10,0.533973,0.004833,0.073597,0.001765,0.464583,0.011647,0.556944,0.012309,0.102431,0.008195,0.236252,0.001901,0.274630,0.005939,0.179643,0.006065,0.823264,0.011180,0.877083,0.010053
typed_disagreement_protocol_v4,sensor_noise_shift,10,0.665594,0.002113,0.075253,0.000879,0.569444,0.008668,0.671528,0.004671,0.009028,0.002722,0.203320,0.001015,0.169576,0.002696,0.357102,0.003432,0.690625,0.005955,0.997222,0.002646
uncertainty_aware_mppi,combined_disagreement_stress,10,0.637330,0.002154,0.110926,0.001579,0.286806,0.010553,0.250347,0.004358,0.049306,0.006237,0.161995,0.001667,0.200446,0.004604,0.279896,0.004498,0.560417,0.012760,1.000000,0.000000
uncertainty_aware_mppi,controller_instability_shift,10,0.646725,0.002239,0.109926,0.001460,0.307639,0.017810,0.248611,0.003395,0.024306,0.003514,0.150314,0.001521,0.207826,0.004207,0.299668,0.004482,0.484028,0.011926,1.000000,0.000000
uncertainty_aware_mppi,goal_ambiguity_shift,10,0.644226,0.002867,0.113620,0.001913,0.311458,0.022573,0.243750,0.003010,0.014583,0.004280,0.143738,0.001207,0.219995,0.005455,0.293645,0.006222,0.434722,0.009560,1.000000,0.000000
uncertainty_aware_mppi,model_misspecification_shift,10,0.648419,0.002469,0.109999,0.001556,0.305903,0.016899,0.249306,0.003010,0.017708,0.004588,0.147319,0.001248,0.209862,0.004660,0.303297,0.005194,0.464931,0.010368,1.000000,0.000000
uncertainty_aware_mppi,nominal_disagreement,10,0.672165,0.001856,0.103076,0.000673,0.362847,0.013621,0.248264,0.001522,0.000694,0.000907,0.133367,0.000259,0.214826,0.002874,0.352040,0.003139,0.380208,0.002325,1.000000,0.000000
uncertainty_aware_mppi,ood_action_shift,10,0.651117,0.002358,0.109815,0.001472,0.322222,0.015677,0.249306,0.001698,0.015278,0.003823,0.144292,0.001135,0.212804,0.005000,0.308518,0.004958,0.445139,0.009506,1.000000,0.000000
uncertainty_aware_mppi,rare_adversarial_shift,10,0.633790,0.003474,0.109050,0.002116,0.267014,0.017260,0.247569,0.006884,0.080556,0.006400,0.174694,0.001806,0.186109,0.006509,0.271595,0.006820,0.638889,0.013687,1.000000,0.000000
uncertainty_aware_mppi,sensor_noise_shift,10,0.648664,0.003111,0.113376,0.001913,0.311458,0.022641,0.239583,0.006002,0.005556,0.002526,0.137459,0.000798,0.228280,0.006053,0.303015,0.006837,0.394444,0.006668,1.000000,0.000000
variance_threshold_abstention,combined_disagreement_stress,10,0.152558,0.008040,0.014145,0.001449,0.114583,0.010832,0.014931,0.003803,0.219444,0.005810,0.211033,0.001307,0.687500,0.008461,-0.211146,0.008989,0.951736,0.006764,0.159722,0.013947
variance_threshold_abstention,controller_instability_shift,10,0.293932,0.008646,0.093254,0.003875,0.136458,0.010398,0.000347,0.000681,0.060764,0.008623,0.129637,0.003362,0.612861,0.007336,-0.109453,0.008213,0.492708,0.018526,0.511458,0.018093
variance_threshold_abstention,goal_ambiguity_shift,10,0.268587,0.002803,0.074347,0.002393,0.132292,0.011041,0.000694,0.000907,0.070833,0.005093,0.142592,0.001397,0.627648,0.003110,-0.117853,0.003371,0.563542,0.007663,0.440625,0.008145
variance_threshold_abstention,model_misspecification_shift,10,0.270040,0.007033,0.081802,0.002411,0.135764,0.012608,0.000347,0.000681,0.078125,0.006974,0.139373,0.002190,0.635999,0.007881,-0.127034,0.009140,0.545833,0.011952,0.456597,0.012559
variance_threshold_abstention,nominal_disagreement,10,0.545446,0.002841,0.166951,0.001335,0.186458,0.013112,0.000000,0.000000,0.001042,0.001040,0.044604,0.000924,0.421146,0.003498,0.141355,0.004074,0.025347,0.005078,0.974653,0.005078
variance_threshold_abstention,ood_action_shift,10,0.316721,0.007584,0.098371,0.004080,0.151042,0.014428,0.000000,0.000000,0.050347,0.008503,0.122032,0.003182,0.601223,0.006327,-0.084117,0.006360,0.450347,0.017337,0.550000,0.017519
variance_threshold_abstention,rare_adversarial_shift,10,0.285931,0.008727,0.021237,0.000912,0.088194,0.009085,0.045486,0.006125,0.245486,0.002280,0.215138,0.000617,0.505068,0.010673,-0.050796,0.010429,0.994097,0.002878,0.366319,0.014534
variance_threshold_abstention,sensor_noise_shift,10,0.303041,0.005923,0.080920,0.002566,0.144444,0.013656,0.000000,0.000000,0.046875,0.004565,0.131640,0.002045,0.604809,0.005998,-0.077589,0.006659,0.503125,0.011363,0.497917,0.011487
worldbench_diagnostic_probe,combined_disagreement_stress,10,0.533240,0.002110,0.077617,0.000519,0.437500,0.014561,0.392708,0.007888,0.238889,0.003769,0.272847,0.000752,0.304819,0.003048,0.171491,0.002877,0.980208,0.004655,1.000000,0.000000
worldbench_diagnostic_probe,controller_instability_shift,10,0.552675,0.002143,0.100321,0.002192,0.476736,0.014277,0.376042,0.005373,0.162500,0.008656,0.234906,0.002791,0.335430,0.004787,0.167535,0.004898,0.774653,0.017585,1.000000,0.000000
worldbench_diagnostic_probe,goal_ambiguity_shift,10,0.563174,0.001511,0.089801,0.001482,0.453819,0.019116,0.379514,0.004189,0.172222,0.004328,0.242764,0.000968,0.313607,0.003733,0.195677,0.004192,0.829514,0.006532,1.000000,0.000000
worldbench_diagnostic_probe,model_misspecification_shift,10,0.560201,0.002898,0.091444,0.001908,0.477431,0.017783,0.376736,0.003403,0.176389,0.006070,0.242254,0.000970,0.319140,0.005436,0.189446,0.006544,0.827431,0.006340,1.000000,0.000000
