method,split,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
bayesian_active_model_selection,combined_disagreement_stress,10,0.580488,0.003064,0.112269,0.002429,0.399653,0.015894,0.551042,0.007389,0.042014,0.007134,0.179541,0.002140,0.268491,0.006917,0.207818,0.007072,0.613889,0.014972,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,10,0.575996,0.005257,0.137134,0.003470,0.415278,0.013543,0.350347,0.017702,0.001042,0.001040,0.138864,0.002692,0.325946,0.011255,0.177020,0.011051,0.364583,0.018734,0.999653,0.000681
bayesian_active_model_selection,goal_ambiguity_shift,10,0.587383,0.003403,0.125948,0.002278,0.417014,0.014256,0.422917,0.014554,0.004167,0.002223,0.149543,0.002102,0.303665,0.007295,0.205618,0.007067,0.433333,0.014340,1.000000,0.000000
bayesian_active_model_selection,model_misspecification_shift,10,0.586350,0.002225,0.127094,0.001958,0.432292,0.017224,0.417014,0.012444,0.002083,0.001505,0.147985,0.001729,0.305431,0.004892,0.203155,0.005422,0.427083,0.010592,1.000000,0.000000
bayesian_active_model_selection,nominal_disagreement,10,0.581864,0.003052,0.153917,0.001877,0.487500,0.019467,0.111111,0.010396,0.000000,0.000000,0.099487,0.001354,0.388246,0.006250,0.173605,0.006260,0.111111,0.010396,1.000000,0.000000
bayesian_active_model_selection,ood_action_shift,10,0.581448,0.002877,0.136867,0.002158,0.436111,0.022185,0.334028,0.012500,0.001389,0.001111,0.134412,0.001964,0.330355,0.006930,0.186252,0.006261,0.342361,0.013428,1.000000,0.000000
bayesian_active_model_selection,rare_adversarial_shift,10,0.564311,0.003542,0.111984,0.002310,0.355903,0.013430,0.555556,0.012342,0.089236,0.007663,0.193029,0.001872,0.271446,0.007515,0.182826,0.007545,0.682639,0.012309,1.000000,0.000000
bayesian_active_model_selection,sensor_noise_shift,10,0.589129,0.004724,0.131168,0.002567,0.440625,0.013245,0.362153,0.015219,0.001389,0.001111,0.138318,0.001870,0.323017,0.009125,0.203661,0.009173,0.367708,0.014037,0.999653,0.000681
conformal_risk_filter,combined_disagreement_stress,10,0.225607,0.006714,0.046716,0.002543,0.187500,0.012384,0.065278,0.007779,0.162153,0.005920,0.201943,0.002162,0.643491,0.007028,-0.167181,0.007112,0.783333,0.012760,0.324306,0.012140
conformal_risk_filter,controller_instability_shift,10,0.266262,0.010151,0.066541,0.004456,0.209028,0.017799,0.030208,0.005920,0.109028,0.008439,0.175584,0.004065,0.634794,0.009195,-0.131829,0.009635,0.616319,0.022917,0.414583,0.021928
conformal_risk_filter,goal_ambiguity_shift,10,0.278143,0.010482,0.066167,0.003048,0.216319,0.013346,0.031944,0.006154,0.107292,0.012402,0.173259,0.003951,0.623725,0.011419,-0.114442,0.011588,0.603819,0.022559,0.428472,0.020722
conformal_risk_filter,model_misspecification_shift,10,0.268839,0.010236,0.064952,0.003546,0.203472,0.016207,0.026736,0.005276,0.108681,0.006959,0.175085,0.003648,0.633917,0.009925,-0.125332,0.010649,0.612500,0.020422,0.414931,0.019861
conformal_risk_filter,nominal_disagreement,10,0.420705,0.009369,0.105446,0.003723,0.272917,0.009364,0.005903,0.002878,0.036111,0.007188,0.122155,0.003687,0.526698,0.008094,0.035153,0.008641,0.315278,0.020737,0.690625,0.019046
conformal_risk_filter,ood_action_shift,10,0.315459,0.008053,0.075484,0.002571,0.218403,0.014926,0.032292,0.006809,0.094444,0.009452,0.163646,0.003186,0.591460,0.009654,-0.074852,0.009155,0.562153,0.019710,0.501389,0.015691
conformal_risk_filter,rare_adversarial_shift,10,0.249700,0.007505,0.042992,0.001819,0.160764,0.019882,0.096528,0.007646,0.187847,0.006208,0.210378,0.002248,0.587204,0.008751,-0.132931,0.008679,0.859722,0.013313,0.360069,0.014843
conformal_risk_filter,sensor_noise_shift,10,0.319143,0.005684,0.077819,0.003422,0.212153,0.018747,0.023958,0.006372,0.081944,0.008192,0.158083,0.002205,0.598174,0.006868,-0.071496,0.007434,0.518403,0.012954,0.505556,0.011442
ensemble_forecasting_calibrator,combined_disagreement_stress,10,0.557575,0.002741,0.124799,0.002517,0.329167,0.015873,0.351736,0.009574,0.063542,0.006500,0.139517,0.001704,0.291030,0.006907,0.185280,0.007042,0.553819,0.012352,0.999653,0.000681
ensemble_forecasting_calibrator,controller_instability_shift,10,0.539806,0.003201,0.158440,0.001953,0.351389,0.020412,0.110069,0.009943,0.015972,0.004671,0.090838,0.002017,0.377682,0.003684,0.125283,0.003948,0.231250,0.013581,0.989236,0.006125
ensemble_forecasting_calibrator,goal_ambiguity_shift,10,0.552881,0.001855,0.153936,0.001754,0.354167,0.025545,0.119097,0.011746,0.014583,0.003176,0.091403,0.001279,0.359733,0.003792,0.149551,0.004049,0.238542,0.009190,0.996875,0.001884
ensemble_forecasting_calibrator,model_misspecification_shift,10,0.549786,0.004019,0.154554,0.002881,0.356597,0.020668,0.120486,0.013268,0.014583,0.005153,0.091508,0.002335,0.363942,0.008513,0.144643,0.009066,0.240278,0.017330,0.995139,0.002079
ensemble_forecasting_calibrator,nominal_disagreement,10,0.559587,0.002994,0.168708,0.001348,0.422222,0.011970,0.005903,0.004064,0.000347,0.000681,0.062159,0.000701,0.417391,0.005140,0.144460,0.005492,0.017708,0.006291,0.997917,0.001505
ensemble_forecasting_calibrator,ood_action_shift,10,0.546211,0.004007,0.160747,0.002530,0.358681,0.012469,0.076736,0.014717,0.010069,0.003433,0.083242,0.001676,0.383454,0.008359,0.133153,0.008424,0.180556,0.012873,0.994792,0.001829
ensemble_forecasting_calibrator,rare_adversarial_shift,10,0.557621,0.003439,0.111451,0.002681,0.286806,0.013390,0.424653,0.011569,0.108681,0.007595,0.162582,0.002366,0.255803,0.007961,0.198469,0.007773,0.695139,0.017091,0.999306,0.000907
ensemble_forecasting_calibrator,sensor_noise_shift,10,0.561131,0.002115,0.154812,0.002482,0.359028,0.022115,0.087153,0.007888,0.005903,0.002042,0.083043,0.002231,0.364646,0.005902,0.162032,0.005562,0.183333,0.017507,0.998264,0.002091
failure_aware_rl_recovery,combined_disagreement_stress,10,0.680167,0.002059,0.082427,0.001220,0.226042,0.014001,0.125347,0.001884,0.089583,0.008040,0.202391,0.001364,0.132985,0.003548,0.357153,0.003881,0.709028,0.009176,1.000000,0.000000
failure_aware_rl_recovery,controller_instability_shift,10,0.686797,0.001872,0.086329,0.001444,0.253819,0.017933,0.127083,0.001111,0.051042,0.004764,0.185828,0.001867,0.148172,0.003632,0.366793,0.003912,0.612500,0.013806,1.000000,0.000000
failure_aware_rl_recovery,goal_ambiguity_shift,10,0.683736,0.003108,0.090040,0.002359,0.242014,0.020062,0.130208,0.002732,0.046528,0.006970,0.178990,0.002130,0.159895,0.006635,0.360355,0.006577,0.570486,0.015521,1.000000,0.000000
failure_aware_rl_recovery,model_misspecification_shift,10,0.692027,0.001168,0.085439,0.001356,0.242361,0.018784,0.126042,0.001453,0.054514,0.010046,0.184682,0.001910,0.145744,0.003358,0.374785,0.002931,0.606944,0.013679,1.000000,0.000000
failure_aware_rl_recovery,nominal_disagreement,10,0.709148,0.001856,0.091636,0.001202,0.299653,0.015816,0.125347,0.000681,0.009722,0.002443,0.157999,0.000826,0.172553,0.003483,0.396948,0.003783,0.447917,0.007102,1.000000,0.000000
failure_aware_rl_recovery,ood_action_shift,10,0.693778,0.001895,0.087875,0.000943,0.257639,0.013375,0.125000,0.001015,0.042014,0.005779,0.178301,0.001179,0.152208,0.003221,0.375643,0.003078,0.566319,0.008332,1.000000,0.000000
