variant,split,seed,episodes,success_rate,tail_risk,calibration_error
observed_only_behavior_clone,nominal,0,600,0.5783,0.4217,0.0151
observed_only_behavior_clone,nominal,1,600,0.5950,0.4050,0.0109
observed_only_behavior_clone,nominal,2,600,0.6083,0.3917,0.0148
observed_only_behavior_clone,nominal,3,600,0.6167,0.3833,0.0144
observed_only_behavior_clone,nominal,4,600,0.6017,0.3983,0.0048
observed_only_behavior_clone,nominal,5,600,0.5833,0.4167,0.0003
observed_only_behavior_clone,nominal,6,600,0.5883,0.4117,0.0153
observed_only_behavior_clone,hidden_mode_shift,0,600,0.3850,0.6150,0.0287
observed_only_behavior_clone,hidden_mode_shift,1,600,0.4383,0.5617,0.0122
observed_only_behavior_clone,hidden_mode_shift,2,600,0.4517,0.5483,0.0379
observed_only_behavior_clone,hidden_mode_shift,3,600,0.4283,0.5717,0.0058
observed_only_behavior_clone,hidden_mode_shift,4,600,0.4300,0.5700,0.0033
observed_only_behavior_clone,hidden_mode_shift,5,600,0.3800,0.6200,0.0233
observed_only_behavior_clone,hidden_mode_shift,6,600,0.4050,0.5950,0.0190
observed_only_behavior_clone,embodiment_shift,0,600,0.4267,0.5733,0.0196
observed_only_behavior_clone,embodiment_shift,1,600,0.4767,0.5233,0.0179
observed_only_behavior_clone,embodiment_shift,2,600,0.4833,0.5167,0.0369
observed_only_behavior_clone,embodiment_shift,3,600,0.4267,0.5733,0.0285
observed_only_behavior_clone,embodiment_shift,4,600,0.4483,0.5517,0.0110
observed_only_behavior_clone,embodiment_shift,5,600,0.4467,0.5533,0.0107
observed_only_behavior_clone,embodiment_shift,6,600,0.4300,0.5700,0.0266
observed_only_behavior_clone,combined_stress,0,600,0.3083,0.6917,0.0204
observed_only_behavior_clone,combined_stress,1,600,0.3667,0.6333,0.0255
observed_only_behavior_clone,combined_stress,2,600,0.3483,0.6517,0.0195
observed_only_behavior_clone,combined_stress,3,600,0.3150,0.6850,0.0226
observed_only_behavior_clone,combined_stress,4,600,0.3600,0.6400,0.0183
observed_only_behavior_clone,combined_stress,5,600,0.3600,0.6400,0.0417
observed_only_behavior_clone,combined_stress,6,600,0.3083,0.6917,0.0306
data_augmentation_wam,nominal,0,600,0.6317,0.3683,0.0010
data_augmentation_wam,nominal,1,600,0.6283,0.3717,0.0177
data_augmentation_wam,nominal,2,600,0.6267,0.3733,0.0136
data_augmentation_wam,nominal,3,600,0.6467,0.3533,0.0053
data_augmentation_wam,nominal,4,600,0.6850,0.3150,0.0308
data_augmentation_wam,nominal,5,600,0.6583,0.3417,0.0092
data_augmentation_wam,nominal,6,600,0.6700,0.3300,0.0252
data_augmentation_wam,hidden_mode_shift,0,600,0.5133,0.4867,0.0310
data_augmentation_wam,hidden_mode_shift,1,600,0.4833,0.5167,0.0124
data_augmentation_wam,hidden_mode_shift,2,600,0.5033,0.4967,0.0134
