seed,method,risk_budget,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
0,risk_bounded_typed_disagreement_protocol_v5,0.000000,48,0.474462,0.040882,0.082940,0.010903,0.506944,0.058324,0.500000,0.105655,0.166667,0.085901,0.247515,0.009769,0.385362,0.041241,0.070608,0.044812,0.802083,0.052067,0.781250,0.062398
0,risk_bounded_typed_disagreement_protocol_v5,0.020000,48,0.504988,0.040932,0.079432,0.008726,0.541667,0.055449,0.562500,0.107706,0.145833,0.075104,0.248217,0.009199,0.339970,0.037008,0.116001,0.041621,0.812500,0.052038,0.815972,0.054363
0,risk_bounded_typed_disagreement_protocol_v5,0.050000,48,0.549123,0.032843,0.089384,0.009940,0.524306,0.054145,0.579861,0.104751,0.111111,0.061000,0.237946,0.012315,0.291444,0.030974,0.164527,0.032424,0.767361,0.069962,0.902778,0.041074
0,risk_bounded_typed_disagreement_protocol_v5,0.080000,48,0.552219,0.035759,0.092957,0.009835,0.458333,0.056295,0.586806,0.104299,0.107639,0.062650,0.234901,0.011971,0.293312,0.029231,0.162658,0.031210,0.753472,0.070802,0.906250,0.038791
0,risk_bounded_typed_disagreement_protocol_v5,0.100000,48,0.551482,0.034148,0.095460,0.009299,0.440972,0.059553,0.565972,0.102353,0.076389,0.043452,0.229811,0.013470,0.294466,0.030723,0.161505,0.033089,0.711806,0.080052,0.913194,0.035055
0,risk_bounded_typed_disagreement_protocol_v5,0.150000,48,0.583019,0.031980,0.099777,0.009174,0.524306,0.059155,0.621528,0.109065,0.045139,0.033325,0.224736,0.015944,0.256651,0.030209,0.199320,0.031508,0.694444,0.095958,0.968750,0.023132
0,robust_mpc_fallback,0.000000,48,0.249566,0.042389,0.028983,0.006740,0.128472,0.040384,0.097222,0.057405,0.201389,0.102454,0.239093,0.007538,0.591244,0.050508,-0.132812,0.050070,0.906250,0.041158,0.312500,0.064242
0,robust_mpc_fallback,0.020000,48,0.291286,0.036418,0.041991,0.007175,0.156250,0.043937,0.111111,0.059429,0.187500,0.093608,0.228731,0.007136,0.552801,0.043762,-0.094124,0.044260,0.861111,0.043859,0.395833,0.052038
0,robust_mpc_fallback,0.050000,48,0.401571,0.042154,0.056557,0.008440,0.145833,0.040833,0.142361,0.078410,0.177083,0.091967,0.216593,0.008621,0.427477,0.049072,0.032335,0.049463,0.840278,0.053236,0.576389,0.061483
0,robust_mpc_fallback,0.080000,48,0.458785,0.036560,0.067682,0.007455,0.128472,0.039196,0.159722,0.083646,0.145833,0.076353,0.204826,0.008984,0.364022,0.046823,0.096230,0.045222,0.791667,0.056295,0.680556,0.053125
0,robust_mpc_fallback,0.100000,48,0.503946,0.039958,0.077067,0.009272,0.180556,0.048469,0.197917,0.100918,0.149306,0.079161,0.198351,0.009738,0.318921,0.051085,0.142082,0.051192,0.770833,0.065698,0.756944,0.048591
0,robust_mpc_fallback,0.150000,48,0.548683,0.027958,0.088993,0.008712,0.149306,0.039196,0.180556,0.091155,0.114583,0.063151,0.186641,0.010089,0.271198,0.040630,0.189402,0.038820,0.718750,0.071577,0.850694,0.034028
0,typed_disagreement_protocol_v4,0.000000,48,0.385410,0.041448,0.043175,0.005910,0.465278,0.065216,0.447917,0.095871,0.201389,0.103374,0.266302,0.006593,0.441331,0.042127,0.014639,0.046733,0.947917,0.036595,0.593750,0.072724
0,typed_disagreement_protocol_v4,0.020000,48,0.451381,0.036819,0.053588,0.005739,0.489583,0.055369,0.541667,0.099903,0.190972,0.098226,0.260580,0.006734,0.367528,0.034771,0.088442,0.039714,0.937500,0.039658,0.715278,0.059924
0,typed_disagreement_protocol_v4,0.050000,48,0.443508,0.038881,0.053728,0.006834,0.402778,0.054008,0.503472,0.097501,0.208333,0.104982,0.261193,0.005840,0.377666,0.041403,0.078304,0.044720,0.944444,0.029715,0.708333,0.066325
0,typed_disagreement_protocol_v4,0.080000,48,0.499420,0.035960,0.064124,0.006664,0.447917,0.058485,0.576389,0.107852,0.152778,0.084139,0.249825,0.010346,0.314515,0.038240,0.141455,0.040821,0.888889,0.061000,0.809028,0.058350
0,typed_disagreement_protocol_v4,0.100000,48,0.477488,0.036885,0.064289,0.007036,0.447917,0.066791,0.496528,0.094044,0.138889,0.072351,0.243515,0.009714,0.340796,0.040140,0.115174,0.042069,0.850694,0.058552,0.770833,0.060448
0,typed_disagreement_protocol_v4,0.150000,48,0.524446,0.026013,0.071755,0.005910,0.427083,0.055794,0.565972,0.101890,0.107639,0.058754,0.237574,0.012047,0.286244,0.029593,0.169726,0.029086,0.826389,0.072758,0.861111,0.043859
0,worldbench_diagnostic_probe,0.000000,48,0.506979,0.011953,0.078060,0.009343,0.434028,0.053042,0.395833,0.133583,0.246528,0.122254,0.280727,0.002687,0.318759,0.028359,0.137211,0.025317,0.996528,0.006806,0.993056,0.009522
0,worldbench_diagnostic_probe,0.020000,48,0.498530,0.018142,0.076818,0.009500,0.427083,0.054072,0.392361,0.135643,0.250000,0.123796,0.280672,0.002816,0.328257,0.033364,0.127713,0.031084,0.996528,0.006806,0.975694,0.025714
0,worldbench_diagnostic_probe,0.050000,48,0.506577,0.014871,0.076621,0.008853,0.375000,0.045099,0.399306,0.136079,0.246528,0.122254,0.280488,0.002684,0.317356,0.029932,0.138614,0.027202,0.996528,0.006806,0.986111,0.013170
0,worldbench_diagnostic_probe,0.080000,48,0.507545,0.012068,0.077498,0.009266,0.430556,0.053125,0.395833,0.135691,0.250000,0.123796,0.281149,0.002505,0.317253,0.028607,0.138718,0.025284,1.000000,0.000000,0.993056,0.009522
0,worldbench_diagnostic_probe,0.100000,48,0.507320,0.014621,0.076340,0.009167,0.371528,0.056913,0.406250,0.134036,0.250000,0.123796,0.280596,0.002761,0.316836,0.029059,0.139135,0.026093,0.996528,0.006806,0.982639,0.020027
0,worldbench_diagnostic_probe,0.150000,48,0.497225,0.014711,0.076441,0.009210,0.420139,0.059155,0.385417,0.134827,0.246528,0.122254,0.280945,0.002662,0.328924,0.031495,0.127046,0.028290,0.996528,0.006806,0.975694,0.021726
1,bayesian_active_model_selection,0.000000,48,0.401692,0.044247,0.057943,0.008961,0.347222,0.055732,0.451389,0.108290,0.218750,0.110964,0.242544,0.006380,0.420805,0.045662,0.031103,0.049952,0.920139,0.033678,0.666667,0.079614
1,bayesian_active_model_selection,0.020000,48,0.442434,0.034552,0.066514,0.011347,0.361111,0.055306,0.503472,0.101308,0.211806,0.108631,0.235697,0.009104,0.377321,0.036283,0.074587,0.039248,0.902778,0.048469,0.743056,0.068056
1,bayesian_active_model_selection,0.050000,48,0.486093,0.029845,0.083275,0.010737,0.361111,0.061771,0.493056,0.098692,0.152778,0.080696,0.216700,0.009361,0.338140,0.032923,0.113768,0.036150,0.802083,0.053853,0.829861,0.050996
1,bayesian_active_model_selection,0.080000,48,0.507265,0.031314,0.085869,0.010486,0.368056,0.047608,0.527778,0.103087,0.163194,0.091495,0.217644,0.010763,0.314933,0.033675,0.136975,0.036194,0.809028,0.059949,0.868056,0.043452
1,bayesian_active_model_selection,0.100000,48,0.514875,0.024219,0.100126,0.014162,0.350694,0.057739,0.503472,0.099423,0.138889,0.076791,0.205313,0.010976,0.320891,0.039102,0.131017,0.037858,0.743056,0.065937,0.909722,0.036339
1,bayesian_active_model_selection,0.150000,48,0.540621,0.024877,0.109651,0.013436,0.361111,0.061000,0.520833,0.096102,0.107639,0.067729,0.196632,0.012585,0.299327,0.032439,0.152581,0.032097,0.697917,0.073854,0.958333,0.022810
