method,risk_budget,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
bayesian_active_model_selection,0.000000,10,0.425265,0.014218,0.062270,0.002007,0.367708,0.015927,0.465972,0.014695,0.209028,0.004033,0.237859,0.001546,0.396593,0.017694,0.057679,0.017940,0.906944,0.007441,0.708681,0.025086
bayesian_active_model_selection,0.020000,10,0.455947,0.007244,0.069028,0.002828,0.362847,0.016113,0.494792,0.010652,0.188542,0.007459,0.231261,0.002325,0.364014,0.010816,0.090259,0.010693,0.876042,0.014205,0.763889,0.011251
bayesian_active_model_selection,0.050000,10,0.491432,0.007867,0.081058,0.002003,0.372222,0.015970,0.514236,0.016151,0.159028,0.007713,0.219770,0.002116,0.331749,0.009493,0.122524,0.009498,0.818750,0.011424,0.832986,0.013514
bayesian_active_model_selection,0.080000,10,0.513120,0.006923,0.089731,0.002976,0.377431,0.008671,0.531250,0.015717,0.151736,0.009077,0.214018,0.002843,0.314575,0.008077,0.139697,0.008101,0.792014,0.016715,0.880903,0.014169
bayesian_active_model_selection,0.100000,10,0.530461,0.006239,0.093948,0.002592,0.362500,0.013313,0.545139,0.016670,0.136458,0.010546,0.209513,0.003252,0.295872,0.009156,0.158401,0.009221,0.771528,0.019244,0.914931,0.009312
bayesian_active_model_selection,0.150000,10,0.549800,0.004910,0.102417,0.002768,0.361111,0.015585,0.558681,0.013245,0.111458,0.004588,0.201458,0.002247,0.280131,0.008469,0.174142,0.008822,0.728819,0.014471,0.957639,0.006637
conformal_risk_filter,0.000000,10,0.095598,0.005149,0.011249,0.001217,0.147569,0.014710,0.000694,0.000907,0.219792,0.006733,0.234890,0.001516,0.751040,0.006696,-0.296767,0.006680,0.936111,0.007937,0.076389,0.010145
conformal_risk_filter,0.020000,10,0.108021,0.004782,0.018063,0.002354,0.148611,0.017419,0.000347,0.000681,0.209722,0.006352,0.228755,0.001977,0.742669,0.004492,-0.288396,0.004979,0.900694,0.010889,0.106597,0.011069
conformal_risk_filter,0.050000,10,0.131417,0.005069,0.026596,0.002957,0.175000,0.008914,0.005208,0.003248,0.185764,0.007875,0.219887,0.001997,0.720530,0.007354,-0.266258,0.006895,0.852778,0.011169,0.157986,0.010891
conformal_risk_filter,0.080000,10,0.160689,0.004214,0.031145,0.002432,0.170486,0.017643,0.028819,0.006175,0.188889,0.006019,0.217186,0.001984,0.688376,0.005526,-0.234103,0.005870,0.851736,0.012835,0.207986,0.008145
