method,split,seed,task,family,episodes,classification_correct_count,useful_count,useful_intervention_count,noise_count,noise_false_alarm_count,success_count,unsafe_commit_count,unnecessary_intervention_count,recovery_attempt_count,recovery_success_count,probe_count,protocol_cost_sum,planning_regret_sum,probe_informativeness_sum,disagreement_family_accuracy,useful_disagreement_recall,noise_false_alarm_rate,calibration_error,probe_informativeness,task_success,unsafe_commit_rate,unnecessary_abstention_recovery_rate,recovery_success,protocol_cost,planning_regret_to_oracle
mean_ensemble_policy,nominal_disagreement,0,bimanual_manipulation_failure_detection,epistemic_unknown,88,4,88,0,0,0,50,0,0,0,0,0,1.760000,10.231940,0.000000,0.045455,0.000000,0.000000,0.272863,0.000000,0.568182,0.000000,0.000000,0.000000,0.020000,0.116272
mean_ensemble_policy,nominal_disagreement,0,bimanual_manipulation_failure_detection,aleatoric_sensor_noise,88,1,0,0,88,0,50,0,0,0,0,0,1.760000,0.000371,0.000000,0.011364,0.000000,0.000000,0.277810,0.000000,0.568182,0.000000,0.000000,0.000000,0.020000,0.000004
mean_ensemble_policy,nominal_disagreement,0,bimanual_manipulation_failure_detection,model_misspecification,88,5,88,0,0,0,37,0,0,0,0,0,1.760000,16.382495,0.000000,0.056818,0.000000,0.000000,0.417482,0.000000,0.420455,0.000000,0.000000,0.000000,0.020000,0.186165
mean_ensemble_policy,nominal_disagreement,0,bimanual_manipulation_failure_detection,out_of_distribution_action,88,8,88,0,0,0,46,0,0,0,0,0,1.760000,16.780786,0.000000,0.090909,0.000000,0.000000,0.252231,0.000000,0.522727,0.000000,0.000000,0.000000,0.020000,0.190691
mean_ensemble_policy,nominal_disagreement,0,bimanual_manipulation_failure_detection,multi_modal_valid_plans,88,0,0,0,88,0,59,0,0,0,0,0,1.760000,0.000000,0.000000,0.000000,0.000000,0.000000,0.179450,0.000000,0.670455,0.000000,0.000000,0.000000,0.020000,0.000000
mean_ensemble_policy,nominal_disagreement,0,bimanual_manipulation_failure_detection,sensor_corruption,88,2,88,0,0,0,40,0,0,0,0,0,1.760000,12.421036,0.000000,0.022727,0.000000,0.000000,0.357410,0.000000,0.454545,0.000000,0.000000,0.000000,0.020000,0.141148
mean_ensemble_policy,nominal_disagreement,0,bimanual_manipulation_failure_detection,controller_instability,88,6,88,0,0,0,39,0,0,0,0,0,1.760000,24.191868,0.000000,0.068182,0.000000,0.000000,0.350647,0.000000,0.443182,0.000000,0.000000,0.000000,0.020000,0.274908
mean_ensemble_policy,nominal_disagreement,0,contact_rich_pick_and_place,epistemic_unknown,88,9,88,0,0,0,51,0,0,0,0,0,1.760000,9.120898,0.000000,0.102273,0.000000,0.000000,0.254355,0.000000,0.579545,0.000000,0.000000,0.000000,0.020000,0.103647
mean_ensemble_policy,nominal_disagreement,0,contact_rich_pick_and_place,aleatoric_sensor_noise,88,0,0,0,88,0,58,0,0,0,0,0,1.760000,0.000000,0.000000,0.000000,0.000000,0.000000,0.209828,0.000000,0.659091,0.000000,0.000000,0.000000,0.020000,0.000000
mean_ensemble_policy,nominal_disagreement,0,contact_rich_pick_and_place,model_misspecification,88,5,88,0,0,0,35,0,0,0,0,0,1.760000,15.240418,0.000000,0.056818,0.000000,0.000000,0.407657,0.000000,0.397727,0.000000,0.000000,0.000000,0.020000,0.173187
