seed,method,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
0,bayesian_active_model_selection,192,0.575958,0.009094,0.123361,0.007511,0.389757,0.031408,0.467882,0.050600,0.029514,0.016537,0.163972,0.007639,0.295677,0.022705,0.189783,0.020569,0.519965,0.048616,1.000000,0.000000
0,conformal_risk_filter,192,0.253120,0.017748,0.055368,0.005652,0.193576,0.022630,0.051215,0.019214,0.140625,0.038873,0.190622,0.005735,0.623748,0.023879,-0.138288,0.022318,0.717882,0.033378,0.381076,0.032332
0,ensemble_forecasting_calibrator,192,0.549428,0.007662,0.138866,0.008480,0.320312,0.027284,0.254340,0.041919,0.049479,0.019455,0.121047,0.006360,0.326843,0.026110,0.158618,0.023651,0.428819,0.040475,0.997396,0.002931
0,failure_aware_rl_recovery,192,0.685100,0.018097,0.082044,0.004442,0.210938,0.022724,0.125868,0.046887,0.075521,0.023734,0.198137,0.007242,0.132985,0.019327,0.365908,0.021458,0.685764,0.044269,1.000000,0.000000
0,information_gain_probe_policy,192,0.536018,0.007078,0.114419,0.008079,0.421875,0.030791,0.318576,0.055838,0.090278,0.033238,0.217681,0.008136,0.353924,0.024538,0.131537,0.022153,0.630208,0.048573,0.998264,0.002400
0,mean_ensemble_policy,192,0.461836,0.012355,0.201811,0.011636,0.009549,0.005493,0.000000,0.000000,0.004340,0.004471,0.027427,0.002187,0.496910,0.037893,-0.010322,0.036703,0.040799,0.012001,0.959201,0.012001
0,oracle_disagreement_type,192,0.653455,0.016331,0.077402,0.001767,1.000000,0.000000,0.750000,0.061410,0.000000,0.000000,0.168120,0.009556,0.119975,0.015616,0.365486,0.017349,0.750000,0.061410,1.000000,0.000000
0,recovery_first_policy,192,0.681966,0.016354,0.081022,0.005487,0.208333,0.023265,0.114583,0.043666,0.105903,0.031291,0.189540,0.006856,0.149202,0.019440,0.360345,0.021552,0.676215,0.041658,0.951389,0.014032
0,risk_bounded_typed_disagreement_protocol_v5,192,0.593363,0.010585,0.119713,0.006392,0.525174,0.029773,0.487847,0.050804,0.010417,0.007484,0.193695,0.008137,0.291053,0.019445,0.194408,0.018107,0.513021,0.050426,1.000000,0.000000
0,robust_mpc_fallback,192,0.614028,0.015577,0.106076,0.006247,0.171007,0.022298,0.215278,0.054042,0.072049,0.023828,0.159637,0.006290,0.231227,0.023490,0.259556,0.023933,0.571181,0.047304,0.957465,0.013910
0,typed_disagreement_protocol_v4,192,0.613163,0.014501,0.075946,0.003026,0.513021,0.029734,0.651042,0.057401,0.052083,0.018938,0.221360,0.007852,0.202161,0.016489,0.283299,0.018061,0.766493,0.050722,0.964410,0.012092
0,uncertainty_aware_mppi,192,0.643156,0.016050,0.109734,0.006503,0.296007,0.027153,0.255208,0.060354,0.047743,0.017500,0.159268,0.006974,0.199607,0.024583,0.290254,0.024679,0.542535,0.054493,1.000000,0.000000
0,variance_threshold_abstention,192,0.245127,0.019416,0.051201,0.007808,0.127604,0.023042,0.013021,0.009316,0.154514,0.045035,0.175488,0.007112,0.616447,0.027598,-0.130720,0.026315,0.755208,0.040289,0.361979,0.035673
0,worldbench_diagnostic_probe,192,0.539306,0.006720,0.086611,0.007208,0.470486,0.028645,0.388889,0.067260,0.208333,0.054853,0.258650,0.005386,0.317753,0.020532,0.167708,0.018898,0.901042,0.031096,1.000000,0.000000
1,bayesian_active_model_selection,192,0.578563,0.009472,0.120910,0.007224,0.394097,0.027951,0.473958,0.048827,0.037326,0.019993,0.165924,0.007498,0.287811,0.021940,0.196414,0.019848,0.530382,0.047169,1.000000,0.000000
1,conformal_risk_filter,192,0.243426,0.017875,0.053378,0.005573,0.209201,0.024513,0.048611,0.019123,0.149306,0.040580,0.193916,0.005623,0.633764,0.023569,-0.149539,0.021710,0.736979,0.032671,0.364583,0.032956
1,ensemble_forecasting_calibrator,192,0.549820,0.008409,0.138706,0.008660,0.329861,0.028540,0.258681,0.043540,0.041667,0.017563,0.119748,0.006968,0.324337,0.027206,0.159888,0.024336,0.420139,0.045258,0.995660,0.003764
1,failure_aware_rl_recovery,192,0.682640,0.018441,0.084626,0.005126,0.233507,0.023767,0.125868,0.046576,0.086806,0.026090,0.197076,0.007413,0.139163,0.021072,0.358508,0.022752,0.674479,0.045151,1.000000,0.000000
1,information_gain_probe_policy,192,0.537727,0.007314,0.113860,0.007936,0.413194,0.028642,0.327257,0.053312,0.102431,0.034180,0.217524,0.007657,0.349829,0.023846,0.134396,0.021639,0.634549,0.045641,0.997396,0.002931
1,mean_ensemble_policy,192,0.455517,0.013018,0.199897,0.011468,0.015625,0.007300,0.000000,0.000000,0.006076,0.004430,0.029384,0.002523,0.501147,0.037898,-0.016092,0.036680,0.051215,0.013739,0.948785,0.013739
1,oracle_disagreement_type,192,0.651122,0.016606,0.078004,0.001874,1.000000,0.000000,0.750000,0.061410,0.000000,0.000000,0.168120,0.009556,0.122397,0.015691,0.361828,0.017591,0.750000,0.061410,1.000000,0.000000
