seed,method,stress_level,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
0,bayesian_active_model_selection,0.000000,48,0.585609,0.013605,0.126801,0.020031,0.513889,0.062152,0.458333,0.115289,0.024306,0.025714,0.152010,0.016079,0.343180,0.055524,0.200240,0.051136,0.482639,0.110144,1.000000,0.000000
0,bayesian_active_model_selection,0.110000,48,0.595408,0.014158,0.118317,0.017318,0.486111,0.050383,0.517361,0.113528,0.017361,0.017506,0.160012,0.015968,0.304968,0.048422,0.223103,0.044404,0.538194,0.109282,1.000000,0.000000
0,bayesian_active_model_selection,0.220000,48,0.585307,0.015798,0.122836,0.019036,0.447917,0.063896,0.489583,0.111071,0.024306,0.019427,0.158705,0.015730,0.318168,0.054258,0.203974,0.049665,0.517361,0.104864,1.000000,0.000000
0,bayesian_active_model_selection,0.330000,48,0.598775,0.014031,0.110403,0.013732,0.479167,0.063501,0.524306,0.108739,0.024306,0.019427,0.167758,0.015073,0.274546,0.039230,0.238457,0.035108,0.576389,0.100119,1.000000,0.000000
0,bayesian_active_model_selection,0.440000,48,0.588656,0.011652,0.112701,0.014197,0.395833,0.058053,0.534722,0.106528,0.041667,0.041835,0.172480,0.015797,0.282315,0.035055,0.219978,0.030255,0.586806,0.099185,1.000000,0.000000
0,bayesian_active_model_selection,0.560000,48,0.588180,0.015879,0.109675,0.015330,0.427083,0.058282,0.545139,0.109929,0.059028,0.042939,0.179604,0.015305,0.271255,0.040272,0.221172,0.037349,0.625000,0.096040,1.000000,0.000000
0,bayesian_active_model_selection,0.670000,48,0.581639,0.018053,0.113783,0.012922,0.402778,0.057405,0.559028,0.109390,0.020833,0.018518,0.175648,0.015966,0.271656,0.037521,0.208363,0.034726,0.597222,0.101001,1.000000,0.000000
0,bayesian_active_model_selection,0.780000,48,0.582496,0.018263,0.111011,0.013420,0.375000,0.065608,0.555556,0.107578,0.038194,0.027919,0.179577,0.015462,0.261514,0.039902,0.212568,0.035238,0.611111,0.095464,1.000000,0.000000
0,bayesian_active_model_selection,0.890000,48,0.576253,0.017730,0.112021,0.011500,0.329861,0.049106,0.531250,0.099502,0.034722,0.035013,0.180639,0.015455,0.261803,0.034291,0.203359,0.031243,0.607639,0.094546,1.000000,0.000000
0,bayesian_active_model_selection,1.000000,48,0.574761,0.020084,0.109166,0.010364,0.347222,0.055732,0.583333,0.103849,0.045139,0.037342,0.189385,0.014963,0.250344,0.032157,0.202026,0.029114,0.649306,0.090846,1.000000,0.000000
0,conformal_risk_filter,0.000000,48,0.321265,0.037293,0.084987,0.012652,0.239583,0.046551,0.017361,0.017506,0.065972,0.040966,0.153757,0.012577,0.619882,0.059943,-0.076462,0.056991,0.496528,0.069793,0.531250,0.067144
0,conformal_risk_filter,0.110000,48,0.258307,0.036768,0.061375,0.011004,0.225694,0.050996,0.024306,0.016817,0.093750,0.055794,0.178593,0.012494,0.661957,0.055551,-0.133886,0.052825,0.635417,0.069906,0.399306,0.066496
0,conformal_risk_filter,0.220000,48,0.286088,0.040368,0.069166,0.013934,0.229167,0.056400,0.027778,0.031266,0.083333,0.049595,0.171288,0.013419,0.628050,0.060413,-0.105908,0.057399,0.604167,0.076970,0.454861,0.071962
0,conformal_risk_filter,0.330000,48,0.281447,0.041463,0.062893,0.010859,0.239583,0.052293,0.065972,0.046381,0.093750,0.051381,0.178360,0.011280,0.620050,0.058129,-0.107047,0.054207,0.649306,0.063957,0.430556,0.070025
0,conformal_risk_filter,0.440000,48,0.245908,0.034014,0.052193,0.009095,0.243056,0.059130,0.076389,0.045577,0.156250,0.082763,0.193507,0.008282,0.647985,0.043259,-0.145691,0.040193,0.736111,0.047483,0.357639,0.057533
0,conformal_risk_filter,0.560000,48,0.253355,0.032169,0.049454,0.007944,0.222222,0.044924,0.059028,0.037024,0.128472,0.069623,0.192706,0.009500,0.621030,0.043403,-0.128603,0.041632,0.736111,0.056575,0.371528,0.055226
0,conformal_risk_filter,0.670000,48,0.220859,0.030398,0.045809,0.008643,0.194444,0.052678,0.065972,0.040966,0.152778,0.078316,0.200831,0.008270,0.651773,0.040366,-0.171754,0.037525,0.770833,0.047276,0.312500,0.051121
0,conformal_risk_filter,0.780000,48,0.243285,0.035616,0.048441,0.009911,0.201389,0.047608,0.072917,0.044472,0.131944,0.070110,0.195877,0.010176,0.617328,0.048577,-0.143246,0.044550,0.746528,0.059155,0.350694,0.060927
0,conformal_risk_filter,0.890000,48,0.228610,0.037698,0.045440,0.009967,0.142361,0.041254,0.083333,0.056714,0.170139,0.088872,0.204584,0.009367,0.627922,0.045472,-0.162760,0.043441,0.802083,0.054724,0.326389,0.063003
0,conformal_risk_filter,1.000000,48,0.210213,0.034649,0.036958,0.008240,0.173611,0.038855,0.072917,0.047556,0.190972,0.098707,0.213329,0.008365,0.630156,0.039052,-0.177786,0.038272,0.850694,0.048864,0.284722,0.060709
0,failure_aware_rl_recovery,0.000000,48,0.694217,0.043176,0.092943,0.012806,0.281250,0.059288,0.125000,0.094551,0.024306,0.019427,0.169061,0.016704,0.180976,0.052181,0.371399,0.057527,0.538194,0.114771,1.000000,0.000000
0,failure_aware_rl_recovery,0.110000,48,0.690925,0.041873,0.089985,0.010668,0.298611,0.060709,0.125000,0.094551,0.031250,0.030224,0.175908,0.015962,0.168237,0.047923,0.369823,0.052684,0.586806,0.106097,1.000000,0.000000
0,failure_aware_rl_recovery,0.220000,48,0.693137,0.040238,0.086254,0.010367,0.315972,0.060146,0.125000,0.094551,0.048611,0.029111,0.181393,0.015230,0.156231,0.045630,0.376404,0.049990,0.614583,0.099740,1.000000,0.000000
0,failure_aware_rl_recovery,0.330000,48,0.689593,0.040614,0.086740,0.011248,0.243056,0.045577,0.125000,0.094551,0.024306,0.019427,0.181764,0.016946,0.153071,0.046426,0.371530,0.051546,0.607639,0.112376,1.000000,0.000000
0,failure_aware_rl_recovery,0.440000,48,0.682437,0.039921,0.085135,0.009533,0.225694,0.052818,0.131944,0.094280,0.065972,0.037342,0.189714,0.014351,0.151314,0.043614,0.362341,0.048495,0.656250,0.089887,1.000000,0.000000
0,failure_aware_rl_recovery,0.560000,48,0.684324,0.037341,0.081741,0.008977,0.284722,0.063749,0.128472,0.094421,0.069444,0.041074,0.195568,0.014270,0.136668,0.040067,0.367596,0.044394,0.687500,0.089475,1.000000,0.000000
0,failure_aware_rl_recovery,0.670000,48,0.679402,0.037922,0.085043,0.010895,0.194444,0.043859,0.128472,0.094421,0.100694,0.053042,0.200271,0.013539,0.141229,0.044427,0.352118,0.047991,0.697917,0.082334,1.000000,0.000000
0,failure_aware_rl_recovery,0.780000,48,0.674510,0.037907,0.087450,0.011237,0.232639,0.053042,0.125000,0.094551,0.093750,0.052293,0.199468,0.014577,0.145497,0.044839,0.342494,0.048691,0.677083,0.086672,1.000000,0.000000
0,failure_aware_rl_recovery,0.890000,48,0.681200,0.033079,0.078269,0.008138,0.225694,0.050996,0.135417,0.094128,0.135417,0.069906,0.214231,0.010574,0.120877,0.034357,0.359047,0.038047,0.767361,0.059752,1.000000,0.000000
0,failure_aware_rl_recovery,1.000000,48,0.673078,0.033930,0.082867,0.008769,0.197917,0.046296,0.131944,0.094280,0.114583,0.060863,0.213003,0.012231,0.126076,0.037508,0.341668,0.040041,0.743056,0.070110,1.000000,0.000000
0,information_gain_probe_policy,0.000000,48,0.580756,0.015159,0.104803,0.015899,0.503472,0.052818,0.361111,0.132054,0.062500,0.038447,0.209422,0.013434,0.339826,0.050724,0.203593,0.047284,0.656250,0.093498,1.000000,0.000000
0,information_gain_probe_policy,0.110000,48,0.573443,0.012782,0.101584,0.013168,0.482639,0.055226,0.371528,0.128756,0.062500,0.037196,0.217377,0.013714,0.330277,0.043991,0.197794,0.040668,0.697917,0.091063,1.000000,0.000000
0,information_gain_probe_policy,0.220000,48,0.574718,0.011191,0.095807,0.011864,0.489583,0.057875,0.381944,0.131920,0.065972,0.040966,0.222757,0.013748,0.314128,0.040708,0.208013,0.036805,0.722222,0.091414,1.000000,0.000000
