seed,method,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
0,conformal_filter_only,192,0.339274,0.018815,0.107578,0.007711,0.542535,0.031477,0.012153,0.007029,0.055556,0.020517,0.140561,0.006646,0.567952,0.031428,-0.082492,0.030191,0.421875,0.037599,0.605903,0.034137
0,full_risk_bounded_typed_disagreement_protocol_v5,192,0.585994,0.009324,0.117872,0.006122,0.568576,0.029961,0.490451,0.050268,0.009549,0.006466,0.194145,0.008068,0.294878,0.019014,0.190582,0.017515,0.518229,0.050451,0.999132,0.001701
0,no_fixed_risk_budget,192,0.631242,0.013844,0.081864,0.003064,0.527778,0.034230,0.662326,0.058569,0.019965,0.009982,0.223417,0.008483,0.191667,0.015772,0.293794,0.017291,0.724826,0.056153,0.995660,0.004471
0,no_probe_action,192,0.594930,0.008892,0.114951,0.006206,0.521701,0.029730,0.237847,0.047915,0.007812,0.006050,0.183408,0.006811,0.271809,0.018522,0.213652,0.016915,0.516493,0.050750,1.000000,0.000000
0,no_protocol_cost_model,192,0.550304,0.008167,0.135455,0.010917,0.552951,0.030687,0.459201,0.059030,0.011285,0.006410,0.189996,0.009549,0.366154,0.029831,0.119307,0.027977,0.475694,0.057996,1.000000,0.000000
0,no_recovery_branch,192,0.569850,0.009091,0.122043,0.006576,0.519965,0.028557,0.415799,0.054640,0.006944,0.005304,0.189072,0.007917,0.316456,0.021942,0.169005,0.019782,0.504340,0.051257,1.000000,0.000000
0,no_type_classifier,192,0.538932,0.008361,0.149694,0.009027,0.553819,0.026535,0.207465,0.036246,0.036458,0.015710,0.166571,0.005973,0.392836,0.028787,0.092625,0.025985,0.358507,0.039663,0.998264,0.002400
0,no_value_of_information_gate,192,0.593163,0.009067,0.107458,0.006436,0.540799,0.029521,0.572917,0.055308,0.013021,0.008327,0.207246,0.008776,0.273777,0.018852,0.211684,0.017322,0.601562,0.054419,1.000000,0.000000
0,recovery_only_protocol,192,0.617092,0.010650,0.104958,0.009089,0.562500,0.027026,0.077257,0.033590,0.099826,0.034461,0.168376,0.008377,0.217140,0.026666,0.268321,0.024068,0.575521,0.050591,1.000000,0.000000
0,v4_protocol_rules,192,0.631992,0.013940,0.080359,0.002916,0.537326,0.030101,0.681424,0.059227,0.024306,0.011044,0.225670,0.008512,0.189372,0.015506,0.296089,0.017075,0.736979,0.055925,0.994792,0.004113
1,conformal_filter_only,192,0.338767,0.018646,0.109312,0.007771,0.523438,0.029507,0.010417,0.007864,0.067708,0.024143,0.139550,0.006428,0.570139,0.030194,-0.085914,0.028990,0.414931,0.035862,0.606771,0.034296
